# From Valeria:
# We blasted human mitochondrial proteins against proteins from alpha-proteobacteria group (100 species for each of 10 genes in result). 
# Then FASTA with flat query-anchored alignment sequences was parced to count the amount of aminoacids in every sequence, exclude genes ATP8, ND6 and ND4L.
;HumanGeneAnalog;GeneName;Ala;Arg;Asn;Asp;Cys;Gln;Glu;Gly;His;Ile;Leu;Lys;Met;Phe;Pro;Ser;Thr;Trp;Tyr;Val
13;ATP6;F0F1 ATP synthase subunit A [Nisaea sp. NBU1469];16;4;2;1;2;2;3;11;4;13;20;2;7;21;9;8;9;0;7;18
14;ATP6;F0F1 ATP synthase subunit A [Rhizobiales bacterium];16;6;4;2;1;3;5;17;3;15;24;3;10;20;8;14;9;1;6;22
15;ATP6;F-type H+-transporting ATPase subunit [Rhodospirillaceae bacterium];16;8;3;2;1;2;5;20;5;17;20;2;8;24;9;9;11;1;7;21
16;ATP6;F0F1 ATP synthase subunit A [Rickettsiaceae bacterium];10;10;4;0;3;3;4;12;4;18;34;2;2;6;6;5;8;1;4;17
17;ATP6;F0F1 ATP synthase subunit A [Rhodospirillaceae bacterium];15;6;6;2;2;2;5;13;4;17;27;3;4;25;11;8;11;1;6;18
18;ATP6;F0F1 ATP synthase subunit A [Rhizobiales bacterium];17;5;3;3;1;2;4;18;4;10;27;4;12;18;8;12;11;1;7;26
19;ATP6;F0F1 ATP synthase subunit A [Magnetospirillum gryphiswaldense];16;8;3;2;1;2;5;20;5;16;20;2;8;24;9;9;11;1;7;22
20;ATP6;F0F1 ATP synthase subunit A [Methyloceanibacter sp. wino2];22;5;7;2;1;2;5;13;4;14;25;5;13;27;7;10;16;1;6;29
21;ATP6;F0F1 ATP synthase subunit A [Sandarakinorhabdus sp. NM-18];24;8;6;3;1;3;6;17;4;16;31;2;5;21;10;6;8;0;5;23
22;ATP6;F0F1 ATP synthase subunit A [SAR116 cluster bacterium];19;6;5;3;1;4;5;18;3;12;25;4;11;20;8;10;10;0;7;24
23;ATP6;F0F1 ATP synthase subunit A [Magnetospirillum gryphiswaldense];17;8;3;1;1;2;6;19;5;16;18;2;8;23;8;8;11;1;6;24
24;ATP6;MULTISPECIES: F0F1 ATP synthase subunit A [Thalassospira];19;8;5;2;2;2;5;19;6;22;23;3;11;22;8;7;13;1;6;17
25;ATP6;F0F1 ATP synthase subunit A [Magnetospirillum sp. LM-5];17;7;3;2;1;3;6;19;5;19;20;3;6;24;9;7;11;1;7;21
26;ATP6;F0F1 ATP synthase subunit A [Rhodospirillaceae bacterium];18;7;5;3;1;4;5;18;3;12;24;3;12;21;8;10;10;0;7;24
27;ATP6;F0F1 ATP synthase subunit A [Rhodospirillaceae bacterium];18;7;5;3;1;4;5;18;3;12;24;2;12;21;8;10;10;0;7;24
28;ATP6;F0F1 ATP synthase subunit A [Alphaproteobacteria bacterium];19;6;6;2;3;2;5;19;2;17;27;4;7;17;7;7;9;2;7;20
29;ATP6;F0F1 ATP synthase subunit A [Thalassospira profundimaris];19;8;5;2;2;2;5;19;6;21;23;3;11;22;8;7;13;1;6;18
30;ATP6;F0F1 ATP synthase subunit A [Thalassospira profundimaris];19;8;5;2;2;2;5;19;6;21;23;3;11;22;8;7;13;1;6;18
31;ATP6;F0F1 ATP synthase subunit A [Magnetospirillum moscoviense];17;7;3;2;1;3;6;19;5;21;20;3;6;24;9;7;10;1;7;20
32;ATP6;F0F1 ATP synthase subunit A [Alphaproteobacteria bacterium];16;7;5;1;1;3;7;17;3;14;25;3;11;21;11;10;10;0;7;22
33;ATP6;F0F1 ATP synthase subunit A [Methyloceanibacter sp.];19;5;7;3;1;3;4;15;3;14;27;5;14;25;7;11;14;2;6;29
34;ATP6;F0F1 ATP synthase subunit A [Polymorphobacter fuscus];25;6;5;3;1;3;7;14;5;14;36;4;2;22;11;5;10;0;7;22
35;ATP6;F0F1 ATP synthase subunit A [SAR116 cluster bacterium];17;6;6;3;1;4;5;19;3;12;25;3;11;22;8;9;10;0;7;23
36;ATP6;F0F1 ATP synthase subunit A [Polymorphobacter fuscus];25;6;5;3;1;3;7;14;5;14;36;4;2;22;11;5;10;0;7;22
37;ATP6;F0F1 ATP synthase subunit A [Alphaproteobacteria bacterium PA4];25;5;5;3;1;3;7;15;4;15;34;5;2;22;11;7;9;0;7;22
38;ATP6;F0F1 ATP synthase subunit A [Rhodospirillales bacterium];16;6;5;2;1;3;5;17;4;11;27;3;8;22;10;8;9;2;7;22
39;ATP6;F0F1 ATP synthase subunit A [Alphaproteobacteria bacterium];16;5;4;3;1;3;3;17;4;22;20;2;6;22;11;11;8;1;7;22
40;ATP6;F0F1 ATP synthase subunit A [SAR116 cluster bacterium MED-G06];20;6;5;3;2;3;5;17;3;13;26;4;8;21;9;9;11;0;7;23
41;ATP6;F0F1 ATP synthase subunit A [Thalassospira australica];19;8;5;2;2;2;5;19;6;21;22;3;11;23;8;7;13;1;6;18
42;ATP6;F0F1 ATP synthase subunit A [SAR116 cluster bacterium];16;4;4;2;1;3;5;16;3;19;27;4;8;19;9;11;10;0;7;23
43;ATP6;F0F1 ATP synthase subunit A [Candidatus Pelagibacter sp.];10;2;5;2;2;2;3;15;3;23;27;9;8;18;8;17;9;1;7;18
44;ATP6;F0F1 ATP synthase subunit A [Alphaproteobacteria bacterium];17;6;5;2;1;2;3;18;5;23;24;2;4;22;11;12;7;0;6;20
45;ATP6;unnamed protein product;24;6;5;2;1;3;8;16;4;15;34;5;2;22;11;6;8;0;7;23
46;ATP6;F0F1 ATP synthase subunit A [Rhodoligotrophos appendicifer];18;6;4;2;1;2;5;16;3;15;25;3;11;17;10;8;11;1;7;27
47;ATP6;F0F1 ATP synthase subunit A [Alphaproteobacteria bacterium];13;7;5;3;1;2;4;16;2;17;29;3;7;20;10;9;9;0;6;23
48;ATP6;F0F1 ATP synthase subunit A [Roseospirillum parvum];16;6;4;3;1;2;4;15;4;20;27;3;10;17;9;9;10;0;8;16
49;ATP6;F0F1 ATP synthase subunit A [Alphaproteobacteria bacterium R1DC25];17;6;4;3;1;3;4;18;3;13;26;4;10;18;9;10;10;1;6;27
50;ATP6;F0F1 ATP synthase subunit A [Alphaproteobacteria bacterium];25;6;5;3;1;3;7;15;4;16;36;4;3;21;11;6;8;0;6;22
51;ATP6;F0F1 ATP synthase subunit A [Kordiimonas sediminis];16;3;6;1;2;3;6;18;3;17;25;6;9;21;8;9;8;2;8;20
52;ATP6;F0F1 ATP synthase subunit A [Alphaproteobacteria bacterium];15;3;5;2;2;3;5;16;3;20;31;5;9;18;10;11;10;0;7;16
53;ATP6;F0F1-type ATP synthase, alpha subunit [alpha proteobacterium HIMB114];13;4;3;1;2;2;5;15;3;19;26;7;8;19;9;13;9;1;7;22
54;ATP6;F0F1 ATP synthase subunit A [Rhizobiales bacterium];19;7;5;3;1;2;4;14;3;12;24;2;13;19;9;12;8;1;7;23
55;ATP6;F0F1 ATP synthase subunit A [Magnetospirillum aberrantis];16;8;3;2;1;3;5;18;6;18;26;0;6;25;10;9;8;1;7;19
56;ATP6;F0F1 ATP synthase subunit A [Kordiimonas pumila];18;5;7;3;3;2;3;17;2;20;23;7;8;18;8;11;8;2;7;23
57;ATP6;F0F1 ATP synthase subunit A [Oceanibacterium hippocampi];17;8;6;2;1;2;5;15;3;20;27;2;8;21;9;9;10;1;6;16
58;ATP6;F0F1 ATP synthase subunit A [SAR116 cluster bacterium];15;3;5;2;2;3;5;16;3;19;32;5;9;18;10;11;10;0;7;16
59;ATP6;F0F1 ATP synthase subunit A [Alphaproteobacteria bacterium];15;5;6;2;1;2;4;16;3;14;24;3;9;24;8;7;13;1;6;25
60;ATP6;F0F1 ATP synthase subunit A [SAR116 cluster bacterium];18;6;4;2;1;3;6;16;3;14;25;4;11;20;10;12;10;0;7;22
61;ATP6;F0F1 ATP synthase subunit A [Magnetospirillum sp. UT-4];15;7;4;2;1;2;5;18;6;21;28;3;6;20;10;10;10;1;7;18
62;ATP6;F0F1 ATP synthase subunit A [Rhodospirillaceae bacterium];18;6;4;2;2;3;4;18;3;21;26;3;10;26;12;9;13;0;7;18
63;ATP6;F0F1 ATP synthase subunit A [Magnetospirillum kuznetsovii];16;8;3;1;1;2;7;17;5;16;21;2;9;23;10;11;10;1;8;23
64;ATP6;F0F1 ATP synthase subunit A [Rhodospirillaceae bacterium];13;4;6;3;2;3;4;12;3;19;30;6;5;18;9;8;10;0;7;22
65;ATP6;F0F1 ATP synthase subunit A [Rhodospirillaceae bacterium];15;3;3;1;1;2;3;13;3;14;22;2;9;20;8;7;11;0;6;16
66;ATP6;F0F1 ATP synthase subunit A [Minwuia thermotolerans];13;6;4;2;2;2;5;16;4;18;27;3;9;21;11;12;8;1;6;18
67;ATP6;F0F1 ATP synthase subunit A [Rhizobiales bacterium];16;5;3;2;1;4;4;17;3;14;25;4;11;19;8;12;9;1;6;25
68;ATP6;F0F1 ATP synthase subunit A [Candidatus Pelagibacter sp.];12;3;6;2;1;3;6;14;3;21;29;8;7;18;9;11;8;1;7;19
69;ATP6;F0F1 ATP synthase subunit A [Candidatus Pelagibacter ubique];12;3;4;2;2;2;3;15;3;18;26;6;9;21;8;12;11;1;7;20
70;ATP6;F0F1 ATP synthase subunit A [Candidatus Pelagibacter sp. IMCC9063];15;3;4;2;1;2;5;14;3;18;29;8;6;20;9;13;8;1;6;21
71;ATP6;F0F1 ATP synthase subunit A [Alphaproteobacteria bacterium];19;8;4;3;1;4;4;15;5;21;26;2;5;23;10;12;9;1;5;27
72;ATP6;F0F1 ATP synthase subunit A [Rhodospirillaceae bacterium];11;3;3;1;1;2;3;11;4;13;25;4;5;19;8;8;9;0;6;23
73;ATP6;F0F1 ATP synthase subunit A [Rhizobiales bacterium NRL2];13;6;4;2;2;2;5;16;4;19;27;3;9;21;11;12;8;1;6;17
74;ATP6;F0F1 ATP synthase subunit A [Pelagibacteraceae bacterium];13;4;3;1;2;2;6;15;3;19;26;6;8;19;9;13;9;1;7;22
75;ATP6;F0F1 ATP synthase subunit A [Thalassobaculum fulvum];16;7;4;2;1;4;5;13;4;17;23;2;11;19;10;11;9;1;8;20
76;ATP6;F0F1 ATP synthase subunit A [Methyloceanibacter caenitepidi];22;5;6;3;1;2;4;14;4;15;25;5;14;26;7;9;16;1;6;29
77;ATP6;F0F1 ATP synthase subunit A [Thalassospira sp. HJ];19;8;4;2;1;2;5;20;6;18;24;3;12;21;8;7;14;1;7;19
78;ATP6;F0F1 ATP synthase subunit A [Alphaproteobacteria bacterium];13;4;4;3;4;3;4;14;4;22;28;4;9;20;8;11;10;3;3;15
79;ATP6;F0F1 ATP synthase subunit A [Rhizobiales bacterium];19;6;6;2;1;2;6;13;4;17;37;1;9;15;9;9;10;1;7;22
80;ATP6;F0F1 ATP synthase subunit A [Thalassospira sp.];19;8;4;2;1;2;5;20;6;18;24;3;12;21;8;7;14;1;7;19
81;ATP6;F0F1 ATP synthase subunit A [Tardiphaga sp.];25;7;5;3;1;3;7;15;4;14;36;3;2;22;11;5;10;0;7;22
82;ATP6;F0F1 ATP synthase subunit A [Rhodobiaceae bacterium];18;6;7;3;2;3;5;14;3;24;24;5;8;29;9;10;12;0;7;21
83;ATP6;F0F1 ATP synthase subunit A [Alphaproteobacteria bacterium];9;2;9;2;1;3;4;14;1;31;31;8;7;26;9;19;12;1;4;20
84;ATP6;F0F1 ATP synthase subunit A [Methyloceanibacter marginalis];23;5;6;2;1;2;4;17;3;15;29;5;12;26;7;11;13;2;6;25
85;ATP6;F0F1 ATP synthase subunit A [Rhodospirillaceae bacterium];13;5;6;3;2;3;4;12;3;19;28;5;5;17;9;8;10;0;6;22
86;ATP6;F0F1 ATP synthase subunit A [Alphaproteobacteria bacterium];9;2;9;2;1;3;4;15;1;31;29;8;7;26;9;18;12;1;4;22
87;ATP6;ATP synthase subunit a [alpha proteobacterium Q-1];14;4;5;2;1;2;2;12;5;16;29;2;5;17;7;10;9;0;4;20
88;ATP6;F0F1 ATP synthase subunit A [Candidatus Pelagibacter sp. RS40];11;2;3;3;2;2;3;14;3;21;26;9;9;20;8;17;9;1;7;18
89;ATP6;F0F1 ATP synthase subunit A [Methyloceanibacter sp.];22;6;6;2;1;4;4;14;3;15;28;4;12;24;8;12;13;1;7;28
90;ATP6;F0F1 ATP synthase subunit A [Pelagibacteraceae bacterium TMED216];11;2;5;3;2;2;3;11;3;24;26;9;9;18;9;15;12;1;7;17
91;ATP6;F0F1 ATP synthase subunit A [Candidatus Endolissoclinum faulkneri];16;4;4;1;1;3;6;12;2;24;23;4;7;19;9;14;14;0;9;15
92;ATP6;ATP synthase subunit a [uncultured Defluviicoccus sp.];15;6;6;1;1;3;4;17;6;16;30;3;8;20;9;7;14;0;7;14
93;ATP6;F0F1 ATP synthase subunit A [Candidatus Jidaibacter acanthamoeba];15;4;3;2;2;3;7;15;4;24;26;5;8;19;8;11;15;0;7;10
94;ATP6;ATP synthase subunit a [Candidatus Jidaibacter acanthamoeba];15;4;3;2;2;3;7;15;4;24;26;5;8;19;8;11;15;0;7;10
95;ATP6;ATP synthase subunit a [Alphaproteobacteria bacterium MarineAlpha2_Bin1];13;5;6;3;2;3;4;12;3;20;31;5;4;18;9;8;10;0;7;21
96;ATP6;F0F1 ATP synthase subunit A [Holosporaceae bacterium 'Namur'];15;4;3;2;2;3;7;15;4;24;26;5;8;19;8;11;15;0;7;10
97;ATP6;F0F1 ATP synthase subunit A [Rhizobiales bacterium];22;7;6;2;1;3;4;13;3;12;33;4;13;23;8;12;14;1;7;26
98;ATP6;F0F1 ATP synthase subunit A [Methyloceanibacter superfactus];23;5;5;2;1;2;5;15;3;14;28;6;13;26;7;12;13;2;6;26
99;ATP6;unnamed protein product;18;5;5;1;3;3;7;14;3;20;35;4;10;16;9;10;10;2;9;22
100;ATP6;F0F1 ATP synthase subunit A [Candidatus Fonsibacter sp.];10;2;9;2;1;3;4;15;1;28;31;8;7;26;9;18;12;1;4;22
101;COX1;Cytochrome c oxidase subunit 1-beta [Candidatus Hodgkinia cicadicola];26;23;18;16;2;5;8;47;17;76;60;8;5;44;23;37;26;15;15;33
102;COX1;cytochrome c oxidase subunit I [Thalassospira sp.];51;11;13;17;1;4;8;53;19;39;46;8;27;54;27;27;29;15;18;41
103;COX1;cytochrome c oxidase subunit I [Thalassospira sp. HJ];51;11;13;17;1;3;9;53;19;40;46;8;26;54;27;27;29;15;18;41
104;COX1;cytochrome c oxidase subunit I [Thalassospira sp. A40-3];51;11;13;17;0;4;8;54;19;40;46;8;26;54;27;28;28;15;18;41
105;COX1;cytochrome c oxidase subunit I [Thalassospira australica];50;11;13;18;0;4;7;54;18;39;47;8;25;54;28;26;31;15;18;42
106;COX1;cytochrome c oxidase subunit I [Thalassospira profundimaris];51;11;13;17;1;5;8;54;18;39;48;8;25;54;27;26;29;15;18;41
107;COX1;cytochrome c oxidase subunit I [Thalassospira sp. HF15];51;12;13;17;0;5;8;54;18;40;46;7;27;54;27;26;30;15;18;40
108;COX1;cytochrome c oxidase subunit I [Thalassospira profundimaris];51;11;12;16;1;4;8;55;19;40;48;8;25;54;27;27;30;15;19;38
109;COX1;cytochrome c oxidase subunit I [Thalassospira marina];52;11;12;16;1;4;7;54;19;39;48;8;24;54;27;29;29;15;19;40
110;COX1;cytochrome c oxidase subunit I [Thalassospira sp. TSL5-1];51;11;12;16;1;4;8;55;19;41;48;8;25;54;27;27;30;15;19;37
111;COX1;cytochrome c oxidase subunit I [Rickettsiales bacterium];38;13;20;13;1;3;8;46;18;46;63;14;19;46;27;32;33;13;22;40
112;COX1;cytochrome c oxidase subunit I [Rhodospirillaceae bacterium];37;10;20;15;0;8;8;53;16;54;55;8;27;52;30;31;33;14;16;34
113;COX1;cytochrome c oxidase subunit I [Thalassospira sp. MCCC 1A01428];51;11;12;16;1;4;7;55;19;39;50;8;23;54;27;29;29;15;19;39
114;COX1;cytochrome c oxidase subunit I [Thalassospira profundimaris];51;11;13;17;0;4;8;53;19;41;46;8;25;54;27;27;30;15;18;41
115;COX1;cytochrome c oxidase subunit I [Thalassospira lucentensis];50;11;13;17;0;3;8;53;20;40;49;8;25;54;27;28;31;15;18;38
116;COX1;MULTISPECIES: cytochrome c oxidase subunit I [Thalassospira];54;11;13;17;0;4;9;53;19;37;50;8;23;54;27;27;29;15;18;40
117;COX1;cytochrome C oxidase subunit I [Thalassospira permensis NBRC 106175];54;11;13;17;0;4;9;53;19;37;50;8;23;54;27;27;29;15;18;40
118;COX1;MULTISPECIES: cytochrome c oxidase subunit I [Thalassospira];54;11;13;17;0;3;9;53;20;36;50;8;23;54;27;27;29;15;18;41
119;COX1;MULTISPECIES: cytochrome c oxidase subunit I [Thalassospira];50;11;13;17;0;4;8;54;19;39;46;8;26;54;27;27;30;15;18;42
120;COX1;cytochrome c oxidase subunit I [Thalassospira tepidiphila];51;11;13;18;0;5;7;53;17;40;47;8;25;54;28;27;30;15;18;41
121;COX1;cytochrome c oxidase subunit I [Thalassospira alkalitolerans];51;11;13;17;0;4;8;54;19;40;49;8;23;55;27;27;29;15;18;40
122;COX1;cytochrome c oxidase subunit I [Thalassospira sp.];54;11;13;17;0;3;9;53;20;36;50;8;23;54;27;28;28;15;18;41
123;COX1;MULTISPECIES: cytochrome c oxidase subunit I [Thalassospira];51;11;13;18;0;5;7;53;17;40;47;8;25;54;28;27;30;15;18;41
124;COX1;MULTISPECIES: cytochrome c oxidase subunit I [Thalassospira];51;11;13;18;0;5;7;53;17;39;47;8;25;54;28;27;30;15;18;42
125;COX1;cytochrome c oxidase subunit I [Oceanibaculum pacificum];44;12;13;15;1;5;8;57;16;44;45;9;31;50;29;26;31;15;18;37
126;COX1;MULTISPECIES: cytochrome c oxidase subunit I [Thalassospira];51;12;13;17;0;4;8;53;19;41;49;9;25;54;28;28;30;15;18;39
127;COX1;MULTISPECIES: cytochrome c oxidase subunit I [Thalassospira];51;11;13;17;0;4;9;55;19;38;49;8;24;54;27;26;29;15;18;41
128;COX1;cytochrome c oxidase subunit I [Thalassospira sp. MCCC 1A03138];53;11;13;17;0;4;8;53;19;39;47;8;24;54;27;27;30;15;18;41
129;COX1;cytochrome c oxidase subunit I [Thalassospira sp.];51;11;13;18;0;5;7;53;17;41;46;8;25;54;28;26;31;15;18;41
130;COX1;cytochrome c oxidase subunit I [Thalassospira xianhensis];53;12;13;17;0;4;9;54;19;39;51;9;23;54;28;27;29;15;18;39
131;COX1;cytochrome c oxidase subunit I [Thalassospira sp.];51;12;13;17;0;4;9;55;19;38;47;8;24;54;27;26;29;15;18;42
132;COX1;cytochrome c oxidase subunit I [Thalassospira lucentensis];51;11;13;17;0;3;7;54;20;38;49;8;26;54;27;26;31;15;18;40
133;COX1;cytochrome c oxidase subunit I [Tistrella mobilis];49;11;13;17;1;5;7;57;17;39;47;10;23;54;28;24;32;13;17;43
134;COX1;cytochrome c oxidase subunit I [Oceanibaculum nanhaiense];44;12;14;15;1;5;8;56;17;43;46;8;28;50;29;25;30;15;20;40
135;COX1;cytochrome c oxidase subunit I [Rhodospirillaceae bacterium];47;11;13;14;1;5;10;55;17;45;53;10;26;47;27;30;25;14;20;37
136;COX1;cytochrome c oxidase subunit I [Tistrella bauzanensis];49;11;11;17;1;6;7;56;17;39;46;10;24;54;28;25;33;13;17;43
137;COX1;cytochrome c oxidase subunit I [Tistrella sp.];49;11;13;16;1;5;6;57;17;39;47;10;23;54;28;24;32;13;17;43
138;COX1;cytochrome c oxidase subunit I [Denitrobaculum tricleocarpae];48;13;14;15;1;7;8;55;16;36;54;6;22;52;29;26;33;17;18;40
139;COX1;cytochrome c oxidase subunit I [Methyloferula stellata];48;11;15;15;1;6;9;55;17;38;59;12;30;50;32;30;25;14;22;38
140;COX1;cytochrome c oxidase subunit I [Cohaesibacter intestini];45;10;15;13;0;9;10;58;17;38;50;10;26;51;32;28;26;17;24;34
141;COX1;cytochrome c oxidase subunit I [Thalassospira sp.];51;11;13;18;0;5;7;53;17;39;46;7;25;53;28;27;30;15;17;41
142;COX1;cytochrome c oxidase subunit I [Rickettsiales bacterium];47;11;14;14;2;7;15;52;17;40;66;7;18;48;30;36;31;14;26;38
143;COX1;cytochrome c oxidase subunit I [Caenispirillum bisanense];49;12;13;14;2;6;10;54;15;41;49;8;26;48;30;23;34;16;18;40
144;COX1;cytochrome c oxidase subunit I [Cohaesibacter sp. CAU 1516];47;10;16;13;0;9;10;58;17;38;49;10;26;51;32;27;25;17;24;34
145;COX1;cytochrome c oxidase subunit I [Azospirillum thermophilum];44;9;14;11;0;7;9;57;17;36;51;10;24;49;29;28;30;19;18;45
146;COX1;cytochrome c oxidase subunit I [Rhodospirillaceae bacterium];37;12;12;13;3;8;7;56;17;43;55;9;29;49;28;30;34;13;16;35
147;COX1;cytochrome c oxidase subunit I [Rhodospirillales bacterium];44;11;13;15;2;5;10;56;17;41;51;7;28;45;28;24;33;16;25;41
148;COX1;cytochrome c oxidase subunit I [Magnetospirillum caucaseum];50;13;15;13;1;6;6;52;18;27;51;6;26;47;30;25;35;17;18;50
149;COX1;cytochrome c oxidase subunit I [Pelagibacterales bacterium];43;9;14;15;1;5;9;56;16;43;48;10;30;45;30;23;35;16;22;37
150;COX1;cytochrome c oxidase subunit I [Oceanibaculum indicum];45;12;14;15;1;5;8;55;17;42;45;8;28;50;29;25;30;15;21;41
151;COX1;cytochrome c oxidase subunit I [Rhodospirillaceae bacterium];46;14;15;15;0;4;7;58;16;36;57;7;29;50;29;21;35;15;20;36
152;COX1;cytochrome c oxidase subunit I [Magnetospirillum sp. XM-1];51;12;14;13;1;4;6;52;19;32;51;7;26;47;30;25;36;17;20;43
153;COX1;cytochrome c oxidase subunit I [Oceanibaculum indicum];46;12;14;15;1;5;8;55;17;42;45;8;28;50;29;25;30;15;21;40
154;COX1;cytochrome c oxidase subunit I [Rhodobiaceae bacterium];41;11;17;15;3;6;9;49;18;47;59;7;18;51;30;34;31;14;22;36
155;COX1;cytochrome c oxidase subunit I [Rhodospirillaceae bacterium];46;14;15;15;0;4;7;58;16;36;57;7;30;50;29;21;34;15;20;36
156;COX1;cytochrome c oxidase subunit I [Candidatus Puniceispirillum marinum];43;12;13;13;0;2;10;55;16;36;51;8;30;50;28;29;34;15;23;40
157;COX1;cytochrome c oxidase subunit I [Pelagibacteraceae bacterium];44;8;16;12;0;7;8;59;17;38;49;11;26;50;29;29;31;15;22;41
158;COX1;cytochrome c oxidase subunit I [SAR116 cluster bacterium];48;12;13;13;0;3;9;56;16;40;49;8;29;48;28;25;32;15;22;42
159;COX1;RecName: Full=Cytochrome c oxidase subunit 1 AltName: Full=Cytochrome aa3 subunit 1 AltName: Full=Cytochrome c oxidase polypeptide I [Rhizobium leguminosarum];49;10;16;13;1;1;14;52;18;44;52;6;26;45;30;30;27;16;23;34
160;COX1;cytochrome c oxidase subunit 1 [Pelagibacterales bacterium];36;12;15;15;2;3;3;46;15;39;56;7;19;44;22;30;28;11;19;36
161;COX1;cytochrome c oxidase subunit I [Alphaproteobacteria bacterium];40;13;15;14;2;5;7;57;18;38;53;7;24;46;27;31;33;15;17;44
162;COX1;cytochrome c oxidase subunit I [Rhodospirillaceae bacterium];45;12;13;13;0;2;10;55;16;40;51;8;29;49;27;26;32;15;22;43
163;COX1;cytochrome c oxidase subunit I [Thalassospira mesophila];52;12;13;15;1;4;6;55;19;38;51;8;24;54;27;27;29;15;19;38
164;COX1;cytochrome c oxidase subunit I [Rickettsiales bacterium];35;10;19;11;0;3;6;46;16;53;62;6;19;52;25;30;28;11;21;28
165;COX1;cytochrome c oxidase subunit I [Skermanella pratensis];45;11;12;13;0;8;7;59;16;44;47;8;25;49;28;29;31;17;17;42
166;COX1;cytochrome c oxidase subunit I [Limibacillus halophilus];49;10;13;17;0;6;7;56;18;39;52;10;25;51;29;25;31;17;18;40
167;COX1;cytochrome c oxidase subunit I [Rhodospirillaceae bacterium];45;12;13;13;0;2;10;55;16;39;51;8;29;49;27;26;32;15;22;43
168;COX1;cytochrome c oxidase subunit I [Alphaproteobacteria bacterium];48;12;14;12;0;2;10;55;16;40;50;8;29;47;27;25;33;14;23;43
169;COX1;cytochrome c oxidase subunit I [SAR116 cluster bacterium];45;12;13;13;0;2;10;55;16;38;51;8;29;48;27;26;33;16;22;44
170;COX1;cytochrome c oxidase subunit I [Alphaproteobacteria bacterium];46;9;12;14;0;9;7;57;16;35;51;10;26;52;27;26;31;18;16;45
171;COX1;cytochrome c oxidase subunit I [Rhodovibrio salinarum];47;12;12;13;1;9;10;56;16;40;51;8;29;52;27;24;36;16;19;35
172;COX1;cytochrome c oxidase subunit I [Inquilinus sp.];49;12;12;12;0;8;8;58;15;36;52;8;25;47;27;27;28;20;19;44
173;COX1;cytochrome c oxidase subunit I [Rhodospirillaceae bacterium];39;11;14;17;3;9;10;50;19;45;64;4;17;50;27;35;32;14;20;33
174;COX1;cytochrome c oxidase subunit I [Alphaproteobacteria bacterium];43;9;14;15;1;5;8;59;18;38;52;10;26;46;27;28;33;15;19;42
175;COX1;cytochrome c oxidase subunit I [Rhodospirillaceae bacterium];46;10;14;14;1;7;11;58;16;40;50;9;25;47;30;30;29;14;19;41
176;COX1;cytochrome c oxidase subunit I [Alphaproteobacteria bacterium];46;13;13;13;0;2;10;55;16;40;48;7;30;48;27;27;32;16;22;43
177;COX1;cytochrome c oxidase subunit I [Pelagibius sp. NBU2595];50;11;13;16;1;5;8;56;17;39;49;8;24;50;27;23;34;17;21;42
