;Species;Gene;GeneName;Ala;Arg;Asn;Asp;Cys;Gln;Glu;Gly;His;Ile;Leu;Lys;Met;Phe;Pro;Ser;Thr;Trp;Tyr;Val
13;Kordiimonas_pumila;ATP6;F0F1 ATP synthase subunit A;18;5;7;3;3;2;3;17;2;20;23;7;8;18;8;11;8;2;7;23
14;Oceanibacterium_hippocampi;ATP6;F0F1 ATP synthase subunit A;17;8;6;2;1;2;5;15;3;20;27;2;8;21;9;9;10;1;6;16
15;Magnetospirillum_kuznetsovii;ATP6;F0F1 ATP synthase subunit A;16;8;3;1;1;2;7;17;5;16;21;2;9;23;10;11;10;1;8;23
16;Minwuia_thermotolerans;ATP6;F0F1 ATP synthase subunit A;13;6;4;2;2;2;5;16;4;18;27;3;9;21;11;12;8;1;6;18
17;Thalassospira_xianhensis;ATP6;F0F1 ATP synthase subunit A;19;8;4;2;1;2;5;20;6;21;21;3;10;24;8;6;15;1;7;18
18;Thalassobaculum_fulvum;ATP6;F0F1 ATP synthase subunit A;16;7;4;2;1;4;5;13;4;17;23;2;11;19;10;11;9;1;8;20
19;Methyloceanibacter_caenitepidi;ATP6;F0F1 ATP synthase subunit A;22;5;6;3;1;2;4;14;4;15;25;5;14;26;7;9;16;1;6;29
20;Magnetospirillum_marisnigri;ATP6;F0F1 ATP synthase subunit A;17;8;3;2;1;2;5;18;6;20;21;2;8;23;10;9;9;1;8;21
21;Methyloceanibacter_marginalis;ATP6;F0F1 ATP synthase subunit A;23;5;6;2;1;2;4;17;3;15;29;5;12;26;7;11;13;2;6;25
22;Magnetospirillum_magnetotacticum;ATP6;F0F1 ATP synthase subunit A;16;8;3;2;1;3;5;17;6;18;21;2;9;23;10;10;9;1;8;22
24;Methyloceanibacter_superfactus;ATP6;F0F1 ATP synthase subunit A;23;5;5;2;1;2;5;15;3;14;28;6;13;26;7;12;13;2;6;26
25;Reyranella_soli;ATP6;F0F1 ATP synthase subunit A;15;6;4;3;2;3;4;18;4;16;26;4;7;23;9;7;8;1;6;22
26;Magnetospirillum_magneticum;ATP6;F0F1 ATP synthase subunit A;17;8;3;2;1;3;5;17;6;18;21;2;9;23;10;10;9;1;8;21
27;Phaeospirillum_molischianum;ATP6;F0F1 ATP synthase subunit A;15;9;3;2;1;2;6;17;5;19;26;1;5;21;10;11;10;2;7;22
28;Thalassospira_alkalitolerans;ATP6;F0F1 ATP synthase subunit A;19;8;5;2;2;2;5;19;6;21;22;3;11;23;8;6;14;1;6;18
29;Iodidimonas_muriae;ATP6;F0F1 ATP synthase subunit A;16;3;5;2;1;2;2;13;5;17;28;3;5;16;7;8;9;0;4;20
32;Rickettsia_raoultii;ATP6;F0F1 ATP synthase subunit A;15;6;8;2;2;3;3;8;4;22;39;6;10;20;9;14;14;1;10;17
33;Ciceribacter_lividus;ATP6;F0F1 ATP synthase subunit A;18;5;5;1;1;3;5;18;4;14;30;3;10;20;8;14;10;0;6;20
34;Magnetospirillum_caucaseum;ATP6;F0F1 ATP synthase subunit A;18;8;3;1;1;2;6;17;6;19;20;2;8;23;10;10;9;1;8;22
36;Phaeospirillum_fulvum;ATP6;F0F1 ATP synthase subunit A;15;9;3;2;1;2;6;17;5;19;27;1;5;21;10;10;11;2;7;21
37;Polymorphobacter_multimanifer;ATP6;F0F1 ATP synthase subunit A;20;8;5;2;1;3;8;14;5;10;36;1;4;20;11;8;12;0;6;28
38;Mesorhizobium_composti;ATP6;F0F1 ATP synthase subunit A;23;5;2;2;1;2;4;15;4;7;28;4;13;20;8;13;9;0;5;30
39;Inquilinus_limosus;ATP6;F0F1 ATP synthase subunit A;16;7;4;2;1;2;5;19;5;20;26;3;5;23;9;7;10;1;6;21
40;Mesorhizobium_soli;ATP6;F0F1 ATP synthase subunit A;19;5;4;2;1;3;4;15;2;16;30;4;8;22;8;18;10;0;5;23
42;Pseudaminobacter_salicylatoxidans;ATP6;F0F1 ATP synthase subunit A;19;5;3;2;2;4;4;15;3;13;29;4;8;23;8;16;10;0;5;26
43;Chelatococcus_asaccharovorans;ATP6;F0F1 ATP synthase subunit A;21;5;3;2;0;6;4;16;3;12;38;4;6;18;9;15;9;1;5;31
44;Anaplasma_platys;ATP6;F0F1 ATP synthase subunit A;24;4;3;3;2;2;5;9;5;17;24;3;7;16;10;5;12;1;5;21
45;Stakelama_sediminis;ATP6;F0F1 ATP synthase subunit A;20;2;4;1;1;1;2;11;4;11;27;5;4;19;9;7;7;3;4;24
46;Tistrella_bauzanensis;ATP6;F0F1 ATP synthase subunit A;18;6;5;2;1;3;5;13;4;15;22;3;11;18;9;11;10;2;6;23
49;Rickettsia_sibirica;ATP6;F0F1 ATP synthase subunit A;14;6;8;2;2;3;3;9;4;24;38;6;10;20;9;13;13;1;10;18
50;Insolitispirillum_peregrinum;ATP6;F0F1 ATP synthase subunit A;17;6;5;2;2;2;5;16;6;18;18;4;9;24;9;7;11;1;6;19
51;Sphingosinithalassobacter_portus;ATP6;F0F1 ATP synthase subunit A;20;7;7;4;2;2;5;12;4;11;29;3;3;24;11;11;7;3;6;25
53;Sphingomonas_gilva;ATP6;F0F1 ATP synthase subunit A;22;7;6;3;2;3;5;16;4;9;32;4;3;22;11;7;11;4;6;25
54;Ehrlichia_muris;ATP6;F0F1 ATP synthase subunit A;12;3;3;1;3;4;3;11;4;25;19;4;7;16;8;6;12;1;4;14
55;Rickettsia_honei;ATP6;F0F1 ATP synthase subunit A;16;6;8;2;2;3;3;9;4;23;38;6;10;20;9;13;13;1;10;17
57;Rhodothalassium_salexigens;ATP6;F0F1 ATP synthase subunit A;23;6;4;2;2;3;4;15;4;10;27;2;9;23;8;12;8;1;4;26
58;Rickettsia_typhi;ATP6;F0F1 ATP synthase subunit A;11;4;7;2;2;4;3;9;3;24;32;7;8;18;9;10;12;1;6;16
59;Mesorhizobium_alhagi;ATP6;F0F1 ATP synthase subunit A;17;5;3;2;0;4;4;15;3;10;32;4;8;22;8;18;11;0;5;28
60;Mesorhizobium_caraganae;ATP6;F0F1 ATP synthase subunit A;17;5;4;2;1;3;4;16;4;7;32;4;7;21;8;16;9;0;5;30
61;Mesorhizobium_delmotii;ATP6;F0F1 ATP synthase subunit A;17;5;4;2;1;3;4;15;4;8;34;4;8;19;8;16;9;0;6;28
62;Caenispirillum_bisanense;ATP6;F0F1 ATP synthase subunit A;18;7;6;2;1;2;5;13;5;19;22;4;8;23;9;8;11;1;6;17
63;Rickettsia_australis;ATP6;F0F1 ATP synthase subunit A;12;6;7;2;2;3;3;9;3;22;34;6;7;17;9;9;12;1;7;17
65;Mesorhizobium_camelthorni;ATP6;F0F1 ATP synthase subunit A;18;5;3;2;0;4;4;14;3;11;32;4;8;22;8;18;11;0;5;27
66;Mesorhizobium_wenxiniae;ATP6;F0F1 ATP synthase subunit A;17;5;4;2;1;3;4;15;4;7;34;4;7;19;8;15;11;0;6;29
67;Mesorhizobium_amorphae;ATP6;F0F1 ATP synthase subunit A;18;5;4;2;1;3;4;15;4;6;33;4;7;21;8;16;8;0;5;31
69;Rhizorhabdus_dicambivorans;ATP6;F0F1 ATP synthase subunit A;13;5;5;1;1;2;5;18;6;22;26;4;11;21;11;12;13;2;3;20
70;Pararhodospirillum_photometricum;ATP6;F0F1 ATP synthase subunit A;18;8;5;2;1;2;5;15;5;18;22;3;8;19;9;7;12;0;8;22
71;Sinorhizobium_arboris;ATP6;F0F1 ATP synthase subunit A;18;5;3;1;1;5;5;18;3;14;29;4;10;22;8;14;10;0;6;19
72;Caenispirillum_salinarum;ATP6;F0F1 ATP synthase subunit A;18;7;6;2;1;2;5;14;5;19;23;4;7;23;9;7;11;1;6;17
73;Pararhodospirillum_oryzae;ATP6;F0F1 ATP synthase subunit A;18;7;5;2;1;2;5;14;5;20;22;4;8;19;9;7;12;0;8;20
74;Rhizobium_arenae;ATP6;F0F1 ATP synthase subunit A;17;5;4;1;1;3;5;19;3;14;25;3;12;21;8;14;11;0;6;23
75;Rhodospirillum_rubrum;ATP6;F0F1 ATP synthase subunit A;18;8;5;2;1;2;5;15;5;16;25;3;9;20;9;7;11;0;8;20
76;Rhizobium_daejeonense;ATP6;F0F1 ATP synthase subunit A;19;5;4;1;1;4;5;19;4;15;28;3;10;21;8;13;9;0;6;20
77;Rickettsia_bellii;ATP6;F0F1 ATP synthase subunit A;11;4;6;2;2;3;3;10;5;24;31;5;9;18;9;9;10;1;6;17
78;Kordiimonas_lipolytica;ATP6;F0F1 ATP synthase subunit A;17;3;3;1;2;4;3;15;4;19;23;4;6;20;8;7;8;1;6;12
79;Rickettsia_conorii;ATP6;F0F1 ATP synthase subunit A;14;6;8;2;2;3;3;9;4;23;38;6;10;20;9;13;14;1;10;18
82;Rickettsia_prowazekii;ATP6;F0F1 ATP synthase subunit A;12;5;7;2;2;3;3;8;4;24;33;6;8;17;9;11;12;1;6;15
85;Rickettsia_monacensis;ATP6;F0F1 ATP synthase subunit A;15;6;8;2;2;3;3;9;4;23;38;6;8;20;8;15;14;1;10;18
86;Aminobacter_aganoensis;ATP6;F0F1 ATP synthase subunit A;15;6;3;2;1;4;4;16;3;11;29;3;9;22;8;17;9;0;5;28
87;Cohaesibacter_celericrescens;ATP6;F0F1 ATP synthase subunit A;22;6;5;1;1;2;5;17;2;14;35;3;6;22;8;15;14;2;5;24
88;Mesorhizobium_temperatum;ATP6;F0F1 ATP synthase subunit A;17;5;4;2;1;3;4;15;4;8;34;4;8;19;8;15;10;0;6;28
89;Rickettsia_asembonensis;ATP6;F0F1 ATP synthase subunit A;14;6;8;3;2;3;3;9;4;22;39;6;9;20;9;13;14;1;10;18
90;Rickettsia_hoogstraalii;ATP6;F0F1 ATP synthase subunit A;15;6;8;2;2;3;3;9;4;23;38;6;9;20;9;13;14;1;10;18
91;Ehrlichia_minasensis;ATP6;F0F1 ATP synthase subunit A;14;3;5;1;3;4;6;12;4;30;18;5;7;18;9;10;12;1;5;18
92;Ochrobactrum_thiophenivorans;ATP6;F0F1 ATP synthase subunit A;16;5;3;2;1;3;4;16;2;21;27;5;6;21;8;19;9;0;7;20
93;Mesorhizobium_waimense;ATP6;F0F1 ATP synthase subunit A;19;5;4;2;1;3;4;15;4;6;33;4;7;21;8;15;8;0;5;31
94;Rickettsia_felis;ATP6;F0F1 ATP synthase subunit A;15;6;8;2;2;3;3;9;4;22;39;6;9;20;9;13;14;1;10;18
95;Rhizobium_azooxidifex;ATP6;F0F1 ATP synthase subunit A;17;5;3;1;1;4;5;19;3;15;30;4;10;21;8;15;10;0;6;18
96;Rickettsia_gravesii;ATP6;F0F1 ATP synthase subunit A;15;5;8;2;2;3;3;9;5;22;39;6;10;20;9;13;13;1;10;18
97;Eilatimonas_milleporae;ATP6;F0F1 ATP synthase subunit A;20;4;4;3;1;2;4;16;4;17;23;5;9;20;10;8;8;1;7;25
98;Rickettsia_slovaca;ATP6;F0F1 ATP synthase subunit A;11;6;7;2;2;3;3;9;4;21;33;6;9;17;9;9;12;1;6;18
99;Mesorhizobium_helmanticense;ATP6;F0F1 ATP synthase subunit A;18;5;4;2;1;3;4;15;4;8;32;4;8;20;8;15;9;0;6;29
101;Paramesorhizobium_deserti;ATP6;F0F1 ATP synthase subunit A;18;5;3;2;1;4;4;15;2;14;28;4;6;23;8;17;11;1;6;27
102;Mesorhizobium_kowhaii;ATP6;F0F1 ATP synthase subunit A;18;5;4;2;1;3;4;16;4;7;31;4;8;22;8;15;8;0;5;30
103;Mesorhizobium_sanjuanii;ATP6;F0F1 ATP synthase subunit A;18;5;4;2;1;3;4;15;4;7;32;4;8;20;8;15;9;0;6;30
104;Ochrobactrum_grignonense;ATP6;F0F1 ATP synthase subunit A;16;5;3;2;1;3;4;16;2;18;27;5;6;21;8;19;9;0;7;23
106;Sphingobium_fluviale;ATP6;F0F1 ATP synthase subunit A;14;4;6;1;1;3;5;19;6;17;28;6;10;21;12;11;10;2;5;20
107;Polymorphum_gilvum;ATP6;F0F1 ATP synthase subunit A;19;7;5;1;1;2;5;14;5;12;25;1;14;22;9;14;11;0;5;23
108;Sphingopyxis_indica;ATP6;F0F1 ATP synthase subunit A;20;7;4;1;1;4;5;21;6;20;30;1;11;22;12;15;10;4;4;16
110;Bartonella_tamiae;ATP6;F0F1 ATP synthase subunit A;15;6;4;2;1;4;4;15;2;20;25;3;8;22;8;15;12;0;6;23
112;Rhizobium_metallidurans;ATP6;F0F1 ATP synthase subunit A;19;4;5;1;1;4;5;19;3;15;28;5;9;21;8;12;9;0;6;21
113;Sphingomonas_edaphi;ATP6;F0F1 ATP synthase subunit A;23;5;5;3;0;2;4;18;6;16;33;4;13;24;10;9;14;2;3;22
114;Rhizorhapis_suberifaciens;ATP6;F0F1 ATP synthase subunit A;15;8;5;1;0;3;5;21;6;14;29;3;12;24;8;15;11;3;5;25
116;Mesorhizobium_tianshanense;ATP6;F0F1 ATP synthase subunit A;17;5;4;2;1;3;4;15;4;10;32;4;8;20;8;15;10;0;6;27
117;Mesorhizobium_ephedrae;ATP6;F0F1 ATP synthase subunit A;17;5;4;2;1;3;4;15;4;12;30;4;9;23;8;15;9;0;5;25
118;Ehrlichia_canis;ATP6;F0F1 ATP synthase subunit A;13;3;5;1;3;5;7;12;4;32;19;5;7;18;9;10;12;1;5;17
120;Mesorhizobium_qingshengii;ATP6;F0F1 ATP synthase subunit A;18;5;4;2;1;3;4;16;4;7;32;4;8;21;8;15;8;0;5;30
121;Telmatospirillum_siberiense;ATP6;F0F1 ATP synthase subunit A;16;8;4;2;2;2;5;19;5;19;20;2;7;22;8;8;8;1;8;21
125;Mesorhizobium_albiziae;ATP6;F0F1 ATP synthase subunit A;17;5;4;2;1;2;4;17;3;13;29;4;7;22;8;17;9;0;6;25
126;Labrenzia_aggregata;ATP6;F0F1 ATP synthase subunit A;15;6;4;1;1;2;5;16;2;14;29;4;11;22;8;16;13;0;5;21
127;Mesorhizobium_zhangyense;ATP6;F0F1 ATP synthase subunit A;17;5;3;2;1;4;4;15;3;14;30;4;10;22;8;17;11;0;5;24
128;Altererythrobacter_deserti;ATP6;F0F1 ATP synthase subunit A;20;7;7;4;2;2;5;13;4;9;30;3;3;22;9;7;7;4;6;29
129;Sphingomonas_laterariae;ATP6;F0F1 ATP synthase subunit A;19;4;6;1;1;2;3;19;7;23;31;5;8;20;11;11;10;1;3;17
130;Rhizobium_pseudoryzae;ATP6;F0F1 ATP synthase subunit A;18;5;6;1;1;3;5;18;4;14;26;3;9;22;8;12;11;0;6;23
132;Aquabacter_cavernae;ATP6;F0F1 ATP synthase subunit A;23;6;3;2;0;3;4;14;4;14;23;4;10;27;8;12;12;0;5;33
134;Phyllobacterium_phragmitis;ATP6;F0F1 ATP synthase subunit A;17;5;3;2;1;4;4;15;2;15;28;4;6;23;8;18;11;1;6;26
135;Aminobacter_ciceronei;ATP6;F0F1 ATP synthase subunit A;15;6;3;2;1;3;4;16;4;11;31;3;8;23;8;17;11;0;5;28
137;Hoeflea_olei;ATP6;F0F1 ATP synthase subunit A;17;6;5;2;1;3;4;17;4;10;31;2;12;21;8;16;10;1;5;24
138;Ensifer_sojae;ATP6;F0F1 ATP synthase subunit A;18;5;3;1;1;4;5;18;4;13;29;4;10;22;8;14;10;0;6;20
139;Falsochrobactrum_ovis;ATP6;F0F1 ATP synthase subunit A;17;5;5;2;1;4;4;16;2;17;24;5;7;21;8;14;10;1;7;26
140;Phyllobacterium_salinisoli;ATP6;F0F1 ATP synthase subunit A;19;5;3;2;1;4;4;15;2;19;26;4;6;23;8;17;11;1;6;23
142;Ochrobactrum_pecoris;ATP6;F0F1 ATP synthase subunit A;17;5;3;2;1;3;4;17;2;18;26;5;6;23;9;15;12;0;6;24
144;Aquamicrobium_aerolatum;ATP6;F0F1 ATP synthase subunit A;18;6;4;2;1;3;4;13;2;10;29;4;12;21;8;18;8;0;6;26
146;Sphingosinicella_soli;ATP6;F0F1 ATP synthase subunit A;17;7;6;2;2;2;7;16;4;12;30;2;3;20;10;7;8;1;4;26
147;Rickettsia_amblyommatis;ATP6;F0F1 ATP synthase subunit A;15;6;9;2;2;3;3;9;4;21;39;6;9;20;9;13;13;1;10;19
148;Sphingosinicella_microcystinivorans;ATP6;F0F1 ATP synthase subunit A;17;7;6;2;2;2;7;16;4;9;33;2;3;20;10;7;8;1;4;26
149;Sphingopyxis_lindanitolerans;ATP6;F0F1 ATP synthase subunit A;22;6;4;2;1;5;5;20;5;17;30;2;11;22;11;14;10;4;4;21
150;Ensifer_alkalisoli;ATP6;F0F1 ATP synthase subunit A;17;6;3;1;1;5;5;18;4;11;30;2;11;21;8;15;10;0;6;21
151;Lutibaculum_baratangense;ATP6;F0F1 ATP synthase subunit A;22;6;6;1;1;2;6;16;4;16;34;3;13;22;8;14;10;1;7;21
152;Ochrobactrum_gallinifaecis;ATP6;F0F1 ATP synthase subunit A;16;5;3;2;1;3;4;15;2;18;27;5;6;21;8;19;10;0;7;23
153;Oricola_cellulosilytica;ATP6;F0F1 ATP synthase subunit A;16;6;4;2;1;3;5;18;2;13;31;3;9;22;8;13;9;0;5;24
154;Sinorhizobium_fredii;ATP6;F0F1 ATP synthase subunit A;17;5;3;1;1;4;5;18;4;13;29;4;9;22;8;14;11;0;6;21
155;Rhizobium_oryzae;ATP6;F0F1 ATP synthase subunit A;16;5;4;1;1;3;5;17;4;14;30;3;8;21;8;16;11;0;6;22
156;Oricola_thermophila;ATP6;F0F1 ATP synthase subunit A;19;6;4;2;1;3;5;18;2;13;30;3;10;21;8;11;11;0;5;22
157;Azorhizobium_doebereinerae;ATP6;F0F1 ATP synthase subunit A;20;5;3;2;0;2;5;15;5;10;30;3;6;21;8;11;11;1;6;30
158;Tistrella_mobilis;ATP6;F0F1 ATP synthase subunit A;18;6;6;2;1;3;5;14;4;12;25;3;10;18;9;10;10;2;6;23
159;Aquabacter_spiritensis;ATP6;F0F1 ATP synthase subunit A;21;5;3;2;0;3;4;14;5;12;27;3;8;22;8;12;9;1;6;29
160;Oharaeibacter_diazotrophicus;ATP6;F0F1 ATP synthase subunit A;20;5;4;1;1;2;4;16;5;11;29;2;8;21;8;14;13;0;6;25
161;Angulomicrobium_tetraedrale;ATP6;F0F1 ATP synthase subunit A;21;6;5;1;1;2;5;12;5;14;31;2;8;20;8;13;12;1;5;22
162;Sphingopyxis_flava;ATP6;F0F1 ATP synthase subunit A;14;6;5;1;1;3;5;19;6;18;31;2;9;20;10;14;11;3;4;19
163;Ensifer_glycinis;ATP6;F0F1 ATP synthase subunit A;18;5;3;1;1;4;5;17;4;13;29;4;9;22;8;15;10;0;6;21
164;Falsochrobactrum_shanghaiense;ATP6;F0F1 ATP synthase subunit A;16;5;4;2;1;4;4;16;2;18;26;5;6;22;8;15;11;1;6;24
165;Pleomorphomonas_carboxyditropha;ATP6;F0F1 ATP synthase subunit A;19;8;5;1;1;2;5;14;2;12;29;2;7;21;9;11;17;0;6;24
168;Sphingomonas_ursincola;ATP6;F0F1 ATP synthase subunit A;14;4;5;3;0;1;3;18;6;17;28;2;6;18;9;11;10;0;5;21
170;Ahrensia_marina;ATP6;F0F1 ATP synthase subunit A;18;6;3;2;1;2;6;18;3;13;29;3;11;21;8;15;8;0;5;23
172;Mesorhizobium_sediminum;ATP6;F0F1 ATP synthase subunit A;14;5;4;2;1;2;5;17;4;11;33;4;10;20;8;16;9;1;5;24
173;Sinorhizobium_saheli;ATP6;F0F1 ATP synthase subunit A;18;5;4;1;1;4;5;18;4;10;30;4;10;22;8;12;11;0;6;22
174;Sinorhizobium_terangae;ATP6;F0F1 ATP synthase subunit A;17;5;3;1;1;4;5;17;4;12;30;4;10;22;8;16;10;0;6;20
175;Rhizobium_rhizosphaerae;ATP6;F0F1 ATP synthase subunit A;17;5;4;1;1;3;5;17;4;13;31;3;8;20;8;14;11;0;6;23
176;Rhizobium_mesoamericanum;ATP6;F0F1 ATP synthase subunit A;18;4;6;1;1;4;5;18;3;13;29;5;8;21;8;13;9;0;6;23
177;Kaistia_soli;ATP6;F0F1 ATP synthase subunit A;21;5;3;1;1;3;5;17;3;13;26;4;8;21;8;13;14;0;6;23
179;Sphingosinicella_humi;ATP6;F0F1 ATP synthase subunit A;16;5;5;3;0;3;4;17;6;14;30;4;10;19;12;12;10;3;3;26
180;Roseomonas_pecuniae;ATP6;F0F1 ATP synthase subunit A;20;5;4;1;1;3;7;16;5;10;30;5;3;22;10;7;9;1;8;27
181;Terasakiella_pusilla;ATP6;F0F1 ATP synthase subunit A;16;7;5;4;1;2;4;15;4;15;23;3;7;23;10;14;9;2;7;18
182;Hypericibacter_terrae;ATP6;F0F1 ATP synthase subunit A;16;7;4;3;3;2;4;15;3;22;26;3;7;22;8;10;11;2;5;15
183;Anaplasma_ovis;ATP6;F0F1 ATP synthase subunit A;21;5;2;2;2;2;3;8;5;15;26;2;7;15;8;5;12;1;4;15
184;Blastochloris_sulfoviridis;ATP6;F0F1 ATP synthase subunit A;20;6;5;1;1;3;5;13;3;16;28;4;8;22;8;14;13;2;5;22
185;Sphingopyxis_alaskensis;ATP6;F0F1 ATP synthase subunit A;13;6;5;1;1;3;5;19;6;17;31;2;9;20;10;14;11;3;4;21
186;Ensifer_mexicanus;ATP6;F0F1 ATP synthase subunit A;17;5;3;1;1;4;5;18;4;13;31;4;10;22;8;15;10;0;6;18
187;Mesorhizobium_atlanticum;ATP6;F0F1 ATP synthase subunit A;21;5;4;2;1;4;4;16;4;10;31;4;7;20;8;13;8;0;5;28
188;Blastomonas_natatoria;ATP6;F0F1 ATP synthase subunit A;14;4;5;3;0;1;3;18;6;17;29;2;6;17;9;11;10;0;5;21
189;Agrobacterium_albertimagni;ATP6;F0F1 ATP synthase subunit A;22;5;4;1;1;3;5;14;4;13;27;3;12;21;8;14;11;0;6;21
190;Ochrobactrum_cytisi;ATP6;F0F1 ATP synthase subunit A;17;5;3;2;1;3;4;17;2;18;26;5;6;23;9;15;12;0;6;24
191;Terasakiella_brassicae;ATP6;F0F1 ATP synthase subunit A;18;7;5;4;1;2;4;15;4;12;23;2;8;24;10;12;10;2;6;20
193;Xanthobacter_tagetidis;ATP6;F0F1 ATP synthase subunit A;25;6;4;2;0;2;5;14;5;11;31;3;6;25;8;12;11;1;5;31
194;Anaplasma_phagocytophilum;ATP6;F0F1 ATP synthase subunit A;18;4;3;1;2;2;3;9;5;17;25;2;5;15;9;7;9;1;4;19
195;Hyphomicrobium_sulfonivorans;ATP6;F0F1 ATP synthase subunit A;17;5;7;2;1;2;5;17;4;20;31;4;11;23;10;10;10;4;6;24
196;Brucella_neotomae;ATP6;F0F1 ATP synthase subunit A;14;6;3;2;1;3;4;17;1;16;29;5;6;24;8;18;12;0;6;23
197;Brucella_ovis;ATP6;F0F1 ATP synthase subunit A;13;5;3;2;1;3;4;17;2;16;29;5;6;24;8;18;13;0;6;23
198;Labrenzia_marina;ATP6;F0F1 ATP synthase subunit A;16;7;4;1;1;2;5;15;2;12;29;3;10;24;8;16;12;0;5;23
200;Sinorhizobium_americanum;ATP6;F0F1 ATP synthase subunit A;17;5;3;1;1;4;5;18;4;12;30;4;9;22;8;15;10;0;6;21
201;Notoacmeibacter_marinus;ATP6;F0F1 ATP synthase subunit A;19;6;3;2;1;3;5;15;2;14;28;3;12;22;8;12;9;0;4;26
202;Roseomonas_gilardii;ATP6;F0F1 ATP synthase subunit A;20;6;3;1;1;3;7;15;4;11;31;4;2;22;10;7;9;1;8;29
203;Hoeflea_phototrophica;ATP6;F0F1 ATP synthase subunit A;16;6;5;2;1;3;4;17;4;12;30;2;13;20;8;15;8;1;5;23
204;Anaplasma_marginale;ATP6;F0F1 ATP synthase subunit A;23;5;4;2;2;2;5;9;5;17;28;2;6;16;8;6;14;1;5;18
205;Phaeovibrio_sulfidiphilus;ATP6;F0F1 ATP synthase subunit A;24;9;5;2;2;2;5;18;3;16;22;3;7;20;8;9;12;1;10;21
207;Nitratireductor_pacificus;ATP6;F0F1 ATP synthase subunit A;17;6;3;2;1;3;5;17;3;11;33;3;7;22;8;14;12;1;5;26
208;Oceanibaculum_indicum;ATP6;F0F1 ATP synthase subunit A;18;8;3;2;1;2;6;12;4;18;23;3;11;22;9;11;10;0;7;17
209;Chthonobacter_albigriseus;ATP6;F0F1 ATP synthase subunit A;20;6;3;1;2;2;5;15;5;11;29;2;8;23;9;13;15;0;5;21
210;Phyllobacterium_sophorae;ATP6;F0F1 ATP synthase subunit A;21;5;4;1;1;3;5;16;2;11;30;4;8;22;9;16;12;0;5;23
212;Oceanibaculum_nanhaiense;ATP6;F0F1 ATP synthase subunit A;18;8;3;2;1;2;6;12;4;18;23;3;11;22;9;11;10;0;7;17
213;Paenochrobactrum_gallinarii;ATP6;F0F1 ATP synthase subunit A;16;5;2;2;1;4;4;16;2;22;24;5;9;24;9;16;12;0;7;19
214;Roseomonas_rosea;ATP6;F0F1 ATP synthase subunit A;19;5;4;1;1;3;7;16;5;10;30;5;4;23;10;7;9;1;8;26
215;Pseudoxanthobacter_soli;ATP6;F0F1 ATP synthase subunit A;20;6;4;1;1;2;5;18;4;15;26;4;7;19;8;10;12;2;5;25
217;Hoeflea_halophila;ATP6;F0F1 ATP synthase subunit A;15;6;4;2;1;4;4;17;4;9;32;2;11;20;8;15;9;1;5;26
218;Aureimonas_leprariae;ATP6;F0F1 ATP synthase subunit A;17;6;5;2;1;2;5;14;2;9;30;3;9;21;8;16;9;1;5;29
221;Sphingomonas_endophytica;ATP6;F0F1 ATP synthase subunit A;13;5;6;1;0;3;5;19;6;17;31;4;6;21;13;11;9;2;4;26
222;Rhizobium_giardinii;ATP6;F0F1 ATP synthase subunit A;15;5;4;1;1;3;5;19;3;16;30;3;9;20;8;16;11;0;6;20
