;Species;Gene;GeneName;Ala;Arg;Asn;Asp;Cys;Gln;Glu;Gly;His;Ile;Leu;Lys;Met;Phe;Pro;Ser;Thr;Trp;Tyr;Val
107;Populus_tremula;ATP6;ATP synthase subunit 6;9;2;6;2;3;3;2;13;4;15;26;2;5;14;7;13;7;1;4;8
108;Fossombronia_foveolata;ATP6;ATP synthase F0 subunit 6;11;4;4;1;2;6;3;14;4;17;25;2;5;18;12;17;11;1;6;10
109;Batis_maritima;ATP6;ATP synthase subunit 6;10;2;5;3;3;3;2;13;4;15;28;2;5;12;7;13;8;1;4;8
110;Leiosporoceros_dussii;ATP6;ATP synthase F0 subunit 6;11;7;6;2;1;4;3;15;7;11;31;2;9;26;8;13;10;0;3;11
111;Nepenthes_ventricosa_x_Nepenthes_alata;ATP6;ATPase subunit 6;10;5;8;4;3;5;3;16;6;17;29;3;5;19;10;16;10;1;3;12
112;Zostera_marina;ATP6;ATP synthase F0 subunit 6;10;5;8;3;2;6;3;15;6;17;29;3;5;19;10;16;11;1;4;12
113;Welwitschia_mirabilis;ATP6;ATP synthase subunit 6;9;2;8;3;7;1;3;14;6;18;36;3;6;16;6;14;8;1;6;15
114;Erythranthe_guttata;ATP6;ATP synthase F0 subunit 6;10;2;5;3;3;3;2;13;5;14;26;2;5;13;8;14;8;1;3;8
115;Manihot_esculenta;ATP6;ATPase subunit 6;10;2;5;3;3;3;2;13;5;14;25;2;5;15;9;12;8;1;3;8
116;Corchorus_olitorius;ATP6;ATP synthase subunit 6;10;3;6;2;3;3;2;13;5;15;29;1;5;13;7;11;8;1;3;8
117;Triticum_dicoccoides;ATP6;ATP synthase subunit a-like;11;3;4;2;2;2;2;12;5;16;26;1;4;17;6;12;8;1;3;8
118;Stratiotes_aloides;ATP6;ATP synthase F0 subunit 6;11;3;6;2;3;3;2;12;5;15;26;1;5;13;9;12;8;1;3;8
119;Sesamum_indicum;ATP6;uncharacterized protein LOC105155288, partial;10;2;5;3;3;3;2;13;5;14;26;2;5;13;8;14;8;1;3;8
120;Hesperelaea_palmeri;ATP6;ATPase subunit 6;10;3;8;3;4;5;3;16;5;17;28;3;5;17;10;18;10;1;3;11
121;Triticum_dicoccoides;ATP6;ATP synthase subunit a-like;10;5;8;3;2;5;3;15;5;18;30;4;4;23;8;16;9;1;3;12
122;Cynanchum_auriculatum;ATP6;Atp6, partial;10;5;8;4;2;5;3;16;5;16;31;3;5;18;10;17;10;1;3;12
123;Rhazya_stricta;ATP6;ATP synthase F0 subunit 6;10;5;8;4;3;5;3;16;5;17;30;3;5;17;11;16;10;1;3;12
124;Butomus_umbellatus;ATP6;ATPase subunit 1;11;5;9;3;2;5;3;15;6;17;30;3;5;17;11;16;10;1;4;12
125;Castilleja_paramensis;ATP6;ATP synthase F0 subunit 6;10;2;5;3;3;3;2;13;5;14;26;2;5;13;8;14;8;1;3;8
126;Carica_papaya;ATP6;ATP synthase F0 subunit 6;10;3;5;3;3;3;2;13;5;14;27;1;5;12;9;13;8;1;3;8
127;Triticum_dicoccoides;ATP6;ATP synthase subunit a-like;11;5;8;3;3;5;2;15;5;18;30;4;4;22;8;15;10;1;3;12
128;Triticum_dicoccoides;ATP6;ATP synthase subunit a-like, partial;11;3;4;2;2;2;2;11;5;15;27;1;4;17;6;12;8;1;3;9
129;Ricinus_communis;ATP6;uncharacterized protein LOC8287940;10;2;8;4;5;5;3;16;5;17;31;4;5;20;9;14;10;1;3;12
130;Eleusine_indica;ATP6;ATPase subunit 6;11;3;5;2;3;3;2;12;6;16;27;1;4;19;6;14;8;1;2;8
131;Aegilops_speltoides_var._ligustica;ATP6;ATP synthase subunit 6;11;3;5;2;2;3;2;12;5;16;26;1;4;17;7;12;8;1;3;8
132;Triticum_dicoccoides;ATP6;ATP synthase subunit a-like;11;3;5;2;2;3;2;12;5;16;26;1;4;17;7;12;8;1;3;8
133;Nicotiana_attenuata;ATP6;ATP synthase F0 subunit 6;9;3;8;4;4;5;3;16;4;17;31;4;5;18;9;16;9;1;4;12
134;Triticum_timopheevii;ATP6;ATP synthase subunit 6;11;3;5;2;2;3;2;12;5;16;26;1;4;17;7;12;8;1;3;8
135;Cucumis_sativus;ATP6;ATPase subunit 6;10;5;7;2;3;4;2;13;5;16;27;3;5;17;10;15;10;1;3;10
136;Triticum_dicoccoides;ATP6;ATP synthase subunit a-like;11;3;5;2;2;3;2;12;5;16;26;1;4;17;7;12;8;1;3;8
137;Utricularia_reniformis;ATP6;Atp6;10;2;5;3;3;3;2;13;5;13;26;2;5;13;8;14;8;1;3;9
138;Haplomitrium_hookeri;ATP6;ATP synthase F0 subunit 6;13;7;9;2;1;7;4;17;8;17;33;2;6;22;20;22;14;0;6;17
139;Nicotiana_tomentosiformis;ATP6;ATP synthase subunit a-like;9;2;5;3;4;3;2;13;4;15;27;2;5;13;8;12;7;1;4;8
140;Nicotiana_tomentosiformis;ATP6;ATP synthase subunit a isoform X1;9;2;5;3;4;3;2;13;4;15;27;2;5;13;8;12;7;1;4;8
141;Rhodamnia_argentea;ATP6;LOW QUALITY PROTEIN;9;4;6;4;4;4;2;13;5;17;28;3;5;18;8;12;11;0;4;9
142;Lagerstroemia_indica;ATP6;ATP synthase F0 subunit 6;10;3;5;3;3;3;2;13;5;14;26;1;5;13;8;14;8;1;3;8
143;Nicotiana_tomentosiformis;ATP6;ATP synthase subunit a isoform X2;9;2;5;4;4;3;2;12;4;15;28;2;5;13;8;11;7;1;4;8
144;Triticum_dicoccoides;ATP6;ATP synthase subunit a-like;11;5;8;3;2;5;3;15;5;18;30;3;4;23;8;15;10;1;3;12
145;Solanum_aethiopicum;ATP6;ATP synthase subunit 6;10;2;5;3;4;3;2;12;4;15;26;2;5;14;8;12;7;1;4;8
146;Spondias_mombin;ATP6;ATPase subunit 6;9;3;6;2;3;3;2;13;5;15;25;1;5;12;9;14;7;1;3;8
147;Corchorus_capsularis;ATP6;ATP synthase subunit 6;10;3;5;3;3;3;2;13;5;15;28;1;5;13;8;11;8;1;3;8
148;Haematoxylum_brasiletto;ATP6;ATPase subunit 6;10;3;8;4;5;5;3;16;5;17;28;3;5;19;9;18;10;1;3;12
149;Punica_granatum;ATP6;uncharacterized protein LOC116190051;10;3;4;3;3;2;2;13;5;14;27;1;5;12;7;14;8;1;3;8
150;Hyoscyamus_niger;ATP6;ATPase subunit 6;9;2;5;3;4;3;2;13;4;15;27;2;5;13;8;12;7;1;4;8
151;Triticum_dicoccoides;ATP6;ATP synthase subunit a-like;11;4;5;2;2;3;2;12;5;16;26;1;4;17;7;11;8;1;3;8
152;Senna_occidentalis;ATP6;Atp6;10;3;8;4;5;5;3;16;5;17;28;3;5;19;9;18;10;1;3;12
153;Nicotiana_sylvestris;ATP6;ATP synthase F0 subunit 6;9;2;5;3;4;3;2;13;4;15;27;2;5;13;8;12;7;1;4;8
154;Triticum_dicoccoides;ATP6;ATP synthase subunit a-like;11;3;5;2;2;3;2;12;5;16;26;1;4;16;7;12;8;1;3;8
155;Libidibia_coriaria;ATP6;ATPase subunit 6;10;3;5;3;4;3;2;13;5;15;24;1;5;13;8;15;8;1;3;8
156;Leucaena_trichandra;ATP6;ATPase subunit 6;10;3;5;3;4;3;2;13;5;14;24;1;6;13;8;15;8;1;3;8
157;Spirodela_polyrhiza;ATP6;ATPase subunit 6;11;3;5;2;3;3;2;12;5;16;24;2;5;13;10;12;8;1;3;8
158;Physochlaina_orientalis;ATP6;ATPase subunit 6;9;2;5;3;4;3;2;13;4;15;27;2;5;13;8;12;7;1;4;8
159;Fagus_sylvatica;ATP6;ATP synthase subunit 6;10;3;5;3;3;3;2;13;5;15;26;1;5;12;9;13;8;1;3;8
160;Capsicum_annuum;ATP6;ATP synthase F0 subunit 6;9;2;5;3;4;3;2;13;4;15;27;2;5;13;8;12;7;1;4;8
161;Acacia_ligulata;ATP6;ATPase subunit 6;10;3;6;3;5;4;2;13;5;15;26;3;6;17;9;17;10;1;3;10
162;Senna_tora;ATP6;ATPase subunit 6;10;3;8;4;5;5;3;16;5;17;28;3;5;19;9;18;10;1;3;12
163;Luffa_acutangula;ATP6;ATPase subunit 6;10;3;6;2;3;3;2;13;5;15;23;1;5;13;9;15;8;1;3;8
164;Zea_mays;ATP6;ATP synthase subunit a-like, partial;11;3;4;2;2;2;2;12;6;15;25;1;4;17;6;14;8;1;2;8
165;Cicer_arietinum;ATP6;uncharacterized protein LOC113787159;10;3;5;3;4;3;2;13;5;16;24;1;5;12;9;14;8;1;3;8
166;Liriodendron_tulipifera;ATP6;ATP synthase F0 subunit 6;10;3;5;3;3;3;2;13;5;15;22;1;5;13;11;14;8;1;3;8
167;Solanum_lycopersicum;ATP6;ATP synthase subunit 6;9;2;5;3;4;3;2;13;4;15;26;2;5;14;8;12;7;1;4;8
168;Oryza_rufipogon;ATP6;ATP synthase F0 subunit 6;12;5;11;3;2;6;5;18;6;19;34;6;5;26;10;21;12;2;4;20
169;Vigna_radiata;ATP6;ATPase subunit 6;10;3;6;3;5;4;2;13;5;16;25;3;5;18;10;16;10;1;3;10
170;Solanum_pennellii;ATP6;ATP synthase subunit 6;9;2;5;3;4;3;2;13;4;15;26;2;5;14;8;12;7;1;4;8
171;Prosopis_alba;ATP6;uncharacterized protein LOC114757211;10;3;5;3;4;3;2;13;5;14;24;1;6;13;8;15;8;1;3;8
172;Eucalyptus_grandis;ATP6;ATP synthase subunit 6;9;4;8;4;4;5;3;15;5;17;29;3;5;19;10;17;9;1;3;12
173;Magnolia_biondii;ATP6;ATP synthase F0 subunit 6;10;3;5;3;3;3;2;13;5;16;22;1;5;12;11;14;8;1;3;8
174;Syzygium_oleosum;ATP6;uncharacterized protein LOC115661321;9;4;8;4;4;5;3;15;5;17;29;3;5;19;11;16;9;1;3;12
175;Viscum_album;ATP6;ATP synthase F0 subunit 6;8;4;3;3;4;2;4;12;5;10;33;1;3;9;6;12;9;2;4;12
176;Vigna_unguiculata;ATP6;uncharacterized protein LOC114171286;10;3;6;3;5;4;2;13;5;16;25;3;5;18;10;16;10;1;3;10
177;Glycine_max;ATP6;ATPase subunit 6;9;4;6;3;5;4;2;13;5;16;24;2;5;18;10;17;9;1;3;10
178;Schisandra_sphenanthera;ATP6;ATPase subunit 6;10;4;5;3;2;3;2;13;5;15;22;1;5;12;12;14;8;1;3;8
179;Tamarindus_indica;ATP6;ATPase subunit 6;11;3;5;3;4;3;2;12;5;14;23;1;6;13;9;15;8;1;3;8
180;Schisandra_sphenanthera;ATP6;ATPase subunit 6;10;4;5;3;2;3;2;13;5;15;22;1;5;12;12;14;8;1;3;8
181;Bupleurum_falcatum;ATP6;Atp6;10;3;5;3;4;3;2;13;5;15;24;1;5;12;9;15;8;1;3;8
182;Glycine_soja;ATP6;ATP synthase F0 subunit a;9;4;6;3;5;4;2;13;5;16;24;2;5;18;10;17;9;1;3;10
183;Camellia_sinensis;ATP6;ATP synthase F0 subunit 6;10;3;5;3;3;3;2;13;5;14;25;1;5;12;10;14;8;1;3;8
184;Phaseolus_vulgaris;ATP6;ATPase subunit 6;9;2;6;3;5;4;2;13;5;17;26;3;5;17;10;16;9;1;3;10
185;Styphnolobium_japonicum;ATP6;ATPase subunit 6;10;3;5;3;4;3;2;13;5;15;23;1;5;13;9;15;8;1;3;8
186;Malus_domestica;ATP6;ATP synthase F0 subunit 6;10;5;8;4;3;5;3;16;5;17;28;3;6;19;11;16;10;1;2;12
187;Sorghum_bicolor;ATP6;ATPase subunit 6;11;3;5;2;2;3;2;12;6;16;24;1;4;17;7;14;8;1;2;8
188;Setaria_italica;ATP6;LOW QUALITY PROTEIN;11;3;5;2;2;3;2;12;6;16;24;1;4;17;7;14;8;1;2;8
189;Setaria_viridis;ATP6;ATP synthase subunit a;11;3;5;2;2;3;2;12;6;16;24;1;4;17;7;14;8;1;2;8
190;Tripsacum_dactyloides;ATP6;ATPase subunit 6;11;3;5;2;2;3;2;12;6;15;25;1;4;17;7;14;8;1;2;8
191;Zea_mays;ATP6;ATP synthase subunit a-like;11;3;5;2;2;3;2;12;6;15;25;1;4;17;7;14;8;1;2;8
192;Zea_luxurians;ATP6;ATPase subunit 6;11;3;5;2;2;3;2;12;6;15;25;1;4;17;7;14;8;1;2;8
193;Zea_mays_subsp._mays;ATP6;ATPase subunit 6;11;3;5;2;2;3;2;12;6;15;25;1;4;17;7;14;8;1;2;8
