;Species;Gene;GeneName;Ala;Arg;Asn;Asp;Cys;Gln;Glu;Gly;His;Ile;Leu;Lys;Met;Phe;Pro;Ser;Thr;Trp;Tyr;Val
27;Tilletia_indica;ATP6;ATP synthase F0 subunit 6;11;7;8;1;1;2;4;13;4;27;26;5;1;20;9;23;9;1;6;17
28;Metschnikowia_colocasiae;ATP6;Atp6;16;3;9;2;1;3;2;18;2;9;38;4;30;14;6;20;9;3;10;14
29;Metschnikowia_bowlesiae;ATP6;Atp6;15;3;8;2;1;3;2;17;2;7;34;4;27;15;6;19;9;3;7;13
30;Metschnikowia_dekortorum;ATP6;Atp6;15;3;8;2;1;3;2;17;2;7;34;4;27;15;6;19;9;3;7;13
31;Metschnikowia_caudata;ATP6;Atp6;15;3;8;2;1;3;2;18;2;17;35;4;13;17;7;19;6;3;7;15
32;Puccinia_striiformis_f._sp._tritici;ATP6;ATP synthase subunit 6;13;7;6;2;2;3;5;12;3;25;29;1;8;13;6;17;12;1;9;21
33;[Candida_castellii;ATP6;ATP synthase subunit 6;12;3;6;2;1;5;4;15;3;27;40;7;10;16;6;17;12;3;10;10
34;Debaryomyces_hansenii;ATP6;ATPase subunit 6;14;5;6;2;1;3;2;20;2;10;34;3;19;18;6;21;9;3;8;19
35;Puccinia_triticina;ATP6;ATP synthase subunit 6;13;7;6;2;2;3;5;12;3;25;28;1;8;14;6;17;12;1;9;21
36;Austropuccinia_psidii;ATP6;ATP synthase F0 subunit a;13;7;6;2;2;3;5;12;3;25;28;1;7;14;6;17;12;1;9;22
37;Candida_albicans_SC5314;ATP6;ATPase subunit 6;14;2;4;1;0;2;2;14;2;25;27;1;3;8;6;18;2;2;5;13
38;Phakopsora_pachyrhizi;ATP6;ATP6;13;4;4;2;2;1;3;12;3;20;26;1;4;12;6;13;10;1;8;22
39;Pneumocystis_murina;ATP6;ATP synthase subunit 6;7;4;8;1;0;5;4;18;3;36;32;5;7;20;6;20;11;3;9;9
40;Conidiobolus_heterosporus;ATP6;ATP synthase F0 subunit 6;6;2;4;3;0;3;6;15;4;28;33;11;4;9;6;18;14;0;9;18
41;Metschnikowia_aberdeeniae;ATP6;Atp6;14;2;5;1;1;2;2;14;2;8;31;2;19;14;6;18;7;1;6;11
42;Sarocladium_implicatum;ATP6;ATP synthase F0 subunit 6;15;3;13;1;1;6;3;13;4;23;32;4;4;19;7;16;9;1;7;13
43;Ustilago_maydis;ATP6;ATP synthase subunit 6;14;4;6;1;2;3;4;14;4;22;28;5;4;20;9;19;11;1;6;18
44;Candida_gigantensis;ATP6;ATP synthase F0 subunit 6;8;4;3;1;0;3;2;13;2;14;26;1;4;9;6;23;6;1;3;17
45;Candida_pseudojiufengensis;ATP6;ATP synthase F0 subunit 6;15;5;8;2;0;3;2;19;2;32;34;3;3;12;6;22;5;3;8;15
46;Absidia_glauca;ATP6;ATP synthase F0 subunit 6;15;5;8;1;1;3;5;16;4;17;33;3;4;14;7;15;12;3;7;22
47;Wolfiporia_cocos;ATP6;ATP synthase F0 subunit a;14;3;6;1;1;3;6;7;4;29;33;6;5;20;6;23;14;2;9;16
48;Pneumocystis_carinii;ATP6;ATP synthase subunit 6;10;5;7;1;0;4;4;16;5;31;25;4;7;19;6;21;6;2;7;16
49;Metschnikowia_shivogae;ATP6;Atp6;14;2;5;1;1;2;2;14;2;10;31;2;17;14;6;18;7;1;6;11
50;Metschnikowia_kipukae;ATP6;Atp6;15;3;8;2;1;3;2;18;2;8;34;4;24;14;6;20;9;3;8;13
51;Candida_parapsilosis;ATP6;ATP synthase subunit 6;15;5;7;2;0;3;2;19;3;33;34;2;3;14;6;24;5;3;10;17
52;Candida_orthopsilosis;ATP6;ATP synthase subunit 6;16;5;7;2;0;3;2;19;3;30;34;2;3;13;6;22;4;3;8;17
53;Metschnikowia_mauinuiana;ATP6;Atp6;12;3;10;2;1;3;2;18;2;11;35;4;29;14;6;21;11;3;9;11
54;Metschnikowia_hibisci;ATP6;Atp6;16;3;9;2;1;3;2;18;2;14;40;4;22;16;6;20;8;3;9;15
55;Naumovozyma_dairenensis;ATP6;ATP synthase F0 subunit a;6;2;10;2;1;5;4;14;2;25;36;5;20;10;6;14;8;4;10;12
56;[Candida_torresii;ATP6;Atp6;10;3;9;2;1;3;2;20;2;14;35;4;21;15;6;21;6;3;8;10
57;Tremella_fuciformis;ATP6;ATP synthase F0 subunit a;18;4;5;2;1;3;4;11;4;19;25;4;4;17;6;19;13;1;7;22
58;Cantharellus_appalachiensis;ATP6;ATP synthase F0 subunit a;7;3;4;1;3;1;2;10;3;20;28;4;0;16;5;16;10;2;7;15
59;Ceratocystis_cacaofunesta;ATP6;ATP synthase subunit 6;12;2;4;1;2;3;3;13;4;22;28;4;3;17;6;13;10;0;5;13
60;Candida_bohioensis;ATP6;ATP synthase F0 subunit 6;11;2;4;1;2;2;2;18;2;14;30;3;16;10;6;21;8;1;7;9
61;Metschnikowia_hawaiiensis;ATP6;Atp6;12;2;5;1;1;2;2;15;2;8;30;2;21;13;6;19;9;1;5;10
62;Cantharellus_cibarius;ATP6;ATP synthase F0 subunit a;7;3;4;1;3;1;2;10;3;20;28;4;0;16;5;16;10;2;7;15
63;[Candida_subhashii;ATP6;Atp6p;9;5;3;1;1;2;3;14;2;22;29;0;4;4;5;16;8;2;5;15
64;Saccharomyces_castellii;ATP6;ATP synthase subunit 6;9;2;8;2;1;6;3;13;2;22;30;5;22;17;6;12;10;4;8;14
65;Groenewaldozyma_salmanticensis;ATP6;ATP synthase F0 subunit a;12;3;5;3;3;5;4;16;2;39;27;6;1;14;6;18;15;4;10;12
66;Eremothecium_gossypii_ATCC_10895;ATP6;AMI006Wp;8;2;12;2;2;3;3;16;3;29;36;5;16;17;6;14;19;4;12;14
67;Nectria_cinnabarina;ATP6;ATP synthase F0 subunit 6;15;2;13;1;1;6;3;12;4;24;33;5;3;18;7;17;9;1;7;13
68;Rhodotorula_mucilaginosa;ATP6;ATP synthase F0 subunit 6;15;7;6;2;1;2;5;15;4;13;31;2;6;20;8;17;8;2;8;23
69;Allomyces_macrogynus;ATP6;H(+)-transporting ATPase, F0 subunit 6;13;2;2;2;3;2;2;9;3;14;31;3;2;11;6;18;10;0;5;15
70;Fusarium_circinatum;ATP6;ATP synthase subunit 6;15;2;13;1;1;6;3;15;4;26;33;5;3;19;7;16;10;1;8;15
71;Candida_jiufengensis;ATP6;Atp6p;15;5;8;2;0;3;2;19;2;27;29;3;9;12;6;22;10;3;8;13
72;Eremothecium_gossypii_FDAG1;ATP6;ATP synthase subunit 6;8;2;12;2;2;3;3;16;3;29;35;5;17;17;6;14;19;4;12;14
73;Fusarium_commune;ATP6;mitochondrially encoded ATP synthase 6;15;2;13;1;1;6;3;12;4;25;32;5;3;19;7;16;10;1;7;12
74;Fusarium_solani;ATP6;atp6 gene product;15;2;13;1;1;6;3;12;4;25;31;5;3;20;7;17;9;1;7;12
75;Amanita_bisporigera;ATP6;ATP synthase F0 subunit a;13;3;7;3;1;3;4;12;3;21;33;4;1;18;7;23;9;1;8;21
76;Fusarium_verticillioides;ATP6;atp6 gene product;15;2;12;1;1;6;3;15;4;25;32;5;3;19;7;15;9;1;7;13
77;Trichoderma_reesei;ATP6;ATP synthase protein 6;16;3;12;1;1;6;3;13;4;24;31;4;3;19;6;17;9;1;7;14
78;Fusarium_graminearum;ATP6;ATP synthase subunit 6;16;2;13;1;1;6;3;12;4;24;31;5;4;20;7;16;9;1;7;12
79;Trichoderma_gamsii;ATP6;ATP synthase F0 subunit 6;16;3;12;1;1;6;3;13;4;24;31;4;3;19;6;17;9;1;7;14
80;Trichoderma_hamatum;ATP6;ATP synthase F0 subunit 6;16;3;12;1;1;6;3;13;4;24;31;4;3;19;6;17;9;1;7;14
81;Paecilomyces_penicillatus;ATP6;ATP synthase F0 subunit a;16;3;12;1;1;6;3;15;4;26;29;4;3;19;6;17;8;1;7;14
82;Microbotryum_lychnidis-dioicae;ATP6;ATP synthase F0 subunit a;13;7;6;1;1;2;6;16;4;18;29;1;6;21;8;19;7;2;7;21
83;Coprinopsis_cinerea_okayama7;ATP6;ATPase subunit 6;14;3;7;2;1;2;5;12;3;23;33;5;1;17;7;21;11;1;8;19
84;Ilyonectria_destructans;ATP6;ATP synthase F0 subunit 6;15;2;12;1;1;6;3;13;4;24;31;5;4;20;7;18;9;1;7;12
85;Microbotryum_violaceum;ATP6;ATP synthase F0 subunit a;13;7;6;1;1;2;6;16;4;18;29;1;6;21;8;19;7;2;7;21
86;Cantharellus_lutescens;ATP6;ATP synthase F0 subunit a;7;3;4;1;4;1;2;10;3;22;27;3;0;16;5;15;10;2;7;15
87;Trametes_hirsuta;ATP6;ATP synthase subunit 6;17;3;7;1;1;3;5;10;5;29;34;6;6;19;7;18;17;1;10;16
88;Metschnikowia_drakensbergensis;ATP6;Atp6;14;3;8;2;1;3;2;18;2;11;36;5;25;14;6;21;8;3;10;13
89;Calonectria_ilicicola;ATP6;ATP synthase F0 subunit a;16;2;12;1;1;6;3;14;4;25;31;5;3;19;7;16;9;1;7;13
90;Metschnikowia_arizonensis;ATP6;Atp6;13;2;11;2;1;3;2;18;3;21;38;6;17;15;6;20;10;2;8;6
91;Candida_prachuapensis;ATP6;ATP synthase F0 subunit 6;10;2;3;1;0;2;2;12;2;6;21;2;17;8;7;19;9;2;4;17
92;Candida_buenavistaensis;ATP6;ATP synthase F0 subunit 6;16;4;6;2;0;3;3;20;3;36;35;2;3;11;7;21;5;3;8;12
93;Paracoccidioides_brasiliensis;ATP6;ATP synthase F0 subunit 6;9;2;11;1;1;5;4;12;4;28;36;3;2;22;7;22;10;1;8;7
94;Lichtheimia_hongkongensis;ATP6;ATP synthase F0 subunit 6;17;5;7;1;1;3;5;15;4;19;34;4;3;15;8;14;12;2;7;19
95;Parasitella_parasitica;ATP6;ATP synthase F0 subunit 6;17;5;7;1;1;3;5;15;4;19;34;4;3;15;8;14;12;2;7;19
96;Metschnikowia_agaves;ATP6;Atp6;9;3;6;1;1;2;2;13;2;14;32;1;15;14;6;18;9;1;6;9
97;Saccharomycodes_ludwigii;ATP6;ATP synthase F0 subunit a;15;3;9;2;0;3;3;16;3;30;36;5;6;21;7;16;9;5;9;11
98;Saccharomyces_pastorianus_Weihenstephan_34/70;ATP6;ATP synthase F0 subunit 6;11;3;10;2;1;3;3;15;3;32;31;5;9;17;7;14;10;5;7;8
99;Saccharomyces_uvarum;ATP6;Atp6p;11;3;10;2;1;3;3;15;3;31;31;5;9;17;7;14;10;5;7;9
100;Rhizopus_oryzae;ATP6;ATP synthase F0 subunit 6;15;5;7;1;1;3;5;16;4;21;34;4;2;16;8;14;13;2;7;18
101;Geotrichum_candidum;ATP6;ATPase subunit 6;8;3;6;1;2;5;4;15;2;2;31;2;31;15;6;17;5;1;10;13
102;Yarrowia_galli;ATP6;atp6 gene product;15;3;6;1;2;3;4;15;2;15;35;3;13;12;6;14;7;2;5;11
103;Zancudomyces_culisetae;ATP6;ATP synthase F0 subunit 6;10;2;5;2;1;2;4;12;2;28;35;8;2;12;8;16;12;1;10;14
104;Metschnikowia_amazonensis;ATP6;Atp6;13;2;5;1;1;2;2;15;2;5;30;2;24;14;6;19;7;1;5;10
105;Candida_metapsilosis;ATP6;ATP synthase subunit 6;16;5;8;2;0;3;2;19;2;31;33;2;3;15;7;21;4;3;7;16
106;Metschnikowia_sp._13-106.1;ATP6;Atp6;13;3;10;2;1;3;2;20;2;10;37;4;30;16;6;23;8;3;11;15
107;Candida_oxycetoniae;ATP6;ATP synthase F0 subunit 6;12;3;5;1;0;2;2;17;2;23;32;2;3;13;7;18;4;2;7;13
108;Saccharomyces_eubayanus;ATP6;ATP6-like protein;11;3;10;2;1;3;3;15;3;31;31;5;9;18;7;14;10;5;7;8
109;Kazachstania_sinensis;ATP6;Atp6p;8;3;11;2;1;2;3;11;4;28;31;4;12;19;6;18;8;4;10;10
110;Yarrowia_lipolytica;ATP6;ATP6 protein;15;3;6;1;2;3;4;15;2;25;35;3;3;12;6;14;7;2;5;11
111;Yarrowia_deformans;ATP6;atp6 gene product;15;3;6;1;2;3;4;15;2;14;35;3;14;12;6;14;7;2;5;11
112;Phycomyces_blakesleeanus;ATP6;ATP synthase F0 subunit a;16;5;8;1;1;3;5;16;4;21;35;3;4;15;7;16;12;2;6;16
113;Schizophyllum_commune;ATP6;ATP synthase F0 subunit 6;15;3;7;2;1;2;5;10;2;24;32;5;3;22;7;23;11;1;8;15
114;Hypogymnia_vittata;ATP6;ATP synthase F0 subunit 6;12;2;6;1;1;4;2;14;3;22;26;4;4;22;6;14;6;0;7;9
115;Hypomyces_aurantius;ATP6;ATP synthase F0 subunit a;13;3;10;1;2;6;3;15;4;23;31;4;5;17;6;17;10;1;7;17
116;Yarrowia_alimentaria;ATP6;ATP6 gene product;15;3;6;1;2;3;4;15;2;17;34;3;10;13;6;14;8;2;5;11
117;Omphalotus_japonicus;ATP6;ATP synthase A chain subunit 6;13;2;6;2;1;3;4;10;2;19;32;8;2;18;6;22;11;1;7;19
118;Yarrowia_phangngaensis;ATP6;ATP synthase F0 subunit 6;15;3;6;1;2;3;4;15;2;13;36;3;13;13;6;14;7;2;5;11
119;[Candida_ipomoeae;ATP6;Atp6;14;3;8;2;1;3;2;17;2;5;35;4;29;14;6;21;8;3;7;13
120;Metschnikowia_continentalis;ATP6;Atp6;14;3;8;2;1;3;2;17;2;5;35;4;29;14;6;21;8;3;7;13
121;Metschnikowia_cerradonensis;ATP6;Atp6;12;2;5;1;1;2;2;15;2;5;30;2;24;14;6;19;7;1;5;11
122;Jaminaea_angkorensis;ATP6;ATP synthase subunit 6;11;4;6;1;1;4;5;15;4;22;30;6;5;19;9;18;11;2;6;17
123;Ophiocordyceps_sinensis;ATP6;ATP synthase protein 6;12;3;11;1;2;6;3;15;4;27;30;4;5;18;6;18;9;1;7;14
124;Candida_tetrigidarum;ATP6;ATP synthase F0 subunit 6;12;4;7;2;0;3;2;15;4;31;31;2;4;14;7;25;7;3;5;17
125;Orbiocrella_petchii;ATP6;ATP synthase F0 subunit a;16;2;14;1;1;5;3;15;4;23;30;5;4;19;7;16;8;1;7;15
126;Lactarius_volemus;ATP6;ATP synthase F0 subunit a;11;2;7;1;1;3;6;9;2;27;33;8;3;18;7;18;14;1;9;13
127;Metschnikowia_hamakuensis;ATP6;Atp6;12;3;7;2;1;3;2;17;2;4;32;3;30;15;6;21;10;3;7;12
128;Pyronema_omphalodes;ATP6;ATP synthase subunit 6;12;3;10;1;3;5;4;15;4;26;30;2;2;20;6;19;8;1;6;12
129;Lentinula_edodes;ATP6;ATP synthase A chain subunit 6;10;2;4;1;1;1;2;8;2;20;28;6;1;16;5;18;10;0;6;16
130;Malassezia_restricta;ATP6;ATP synthase subunit 6;12;2;2;1;1;1;2;10;3;19;20;3;3;16;6;15;8;0;4;14
131;Metschnikowia_kamakouana;ATP6;Atp6;12;2;5;1;1;2;2;15;2;3;30;2;27;13;6;18;9;1;5;10
132;Dictyophora_indusiata;ATP6;ATP synthase F0 subunit a;14;4;7;1;1;3;5;12;4;27;30;4;2;17;7;19;13;1;10;14
133;Clonostachys_rosea;ATP6;ATP synthase F0 subunit 6;16;2;14;1;1;6;3;16;4;26;35;5;4;19;8;16;10;1;8;15
134;Cyberlindnera_jadinii;ATP6;ATP synthase F0 subunit 6;15;3;7;3;1;3;4;21;3;26;34;3;6;16;6;18;9;2;11;17
135;Moniliophthora_roreri;ATP6;ATP synthase A chain subunit 6;10;2;6;3;1;3;4;10;2;25;30;8;2;18;7;25;11;1;10;17
136;Cyberlindnera_suaveolens;ATP6;ATP synthase F0 subunit 6;15;3;7;3;1;3;4;21;3;26;34;3;6;16;6;18;9;2;11;17
137;Lactifluus_hygrophoroides;ATP6;ATP synthase F0 subunit a;10;3;7;1;1;3;6;9;2;28;29;6;3;19;7;18;15;1;10;15
138;Wickerhamomyces_canadensis;ATP6;ATPase subunit 6;17;4;8;3;1;3;3;21;3;28;33;2;7;15;6;15;11;2;10;16
139;Fusarium_oxysporum;ATP6;ATP synthase F0 subunit 6;15;2;13;1;1;6;3;12;4;25;34;5;3;18;6;16;10;1;7;12
140;Hericium_coralloides;ATP6;ATP synthase F0 subunit a;11;3;7;1;1;3;5;9;3;29;29;6;3;17;7;20;13;1;9;16
141;Brettanomyces_custersianus;ATP6;Atp6p;16;4;5;3;2;2;4;17;2;27;35;6;5;12;7;15;10;3;9;14
142;Acremonium_fuci;ATP6;ATP synthase subunit 6;14;3;14;1;1;6;3;14;4;26;36;4;4;19;8;19;10;1;8;14
143;Cryptococcus_amylolentus_CBS_6039;ATP6;ATP synthase F0, A subunit;17;3;6;2;1;3;4;11;3;27;28;2;3;19;7;24;11;1;8;15
144;Zasmidium_cellare;ATP6;ATP synthase subunit 6;14;2;12;1;2;5;4;15;4;19;29;5;5;23;7;18;8;1;7;16
145;Aspergillus_pseudoglaucus;ATP6;ATP synthase subunit 6;17;2;16;1;3;5;3;14;5;31;40;4;3;25;8;22;13;1;8;10
146;[Candida_vartiovaarae;ATP6;ATP synthase F0 subunit 6;14;3;6;2;1;3;4;20;3;25;30;3;6;16;7;18;8;2;11;15
147;Pneumocystis_jirovecii;ATP6;ATP synthase subunit 6;13;2;3;1;0;1;2;15;3;19;32;4;6;18;6;12;6;1;7;16
148;Candida_tropicalis;ATP6;ATP synthase F0 subunit 6;14;2;4;1;0;2;2;14;2;20;28;1;3;10;6;17;2;2;5;16
149;Torulaspora_globosa;ATP6;ATP synthase F0 subunit a;14;3;5;2;2;3;3;13;3;27;34;4;6;15;7;16;12;4;9;11
150;Torulaspora_delbrueckii;ATP6;ATP synthase F0 subunit a;14;4;5;2;2;3;3;13;3;26;34;3;6;15;7;16;12;4;9;12
151;Lactarius_piperatus;ATP6;ATP synthase F0 subunit a;9;3;7;1;1;3;6;10;3;30;31;6;3;18;7;18;14;1;9;13
152;Chaetomium_thermophilum_var._thermophilum_DSM_1495;ATP6;ATP synthase F0 subunit 6;13;2;10;1;1;5;3;13;5;24;31;5;4;19;7;19;11;1;7;13
153;Torulaspora_quercuum;ATP6;ATP synthase F0 subunit a;14;3;5;2;2;3;3;13;3;26;36;4;6;15;7;15;12;4;9;11
154;Candida_theae;ATP6;ATP synthase F0 subunit 6;15;5;8;2;0;3;2;19;2;30;34;2;3;13;7;22;4;3;8;17
155;Gigaspora_margarita;ATP6;ATP synthase F0 subunit 6;17;5;5;3;1;5;3;17;4;24;40;1;1;14;7;17;11;2;8;24
156;Agaricus_bisporus_var._burnettii_JB137-S8;ATP6;hypothetical protein AGABI1DRAFT_17081, partial;12;2;4;1;3;1;2;10;3;18;28;4;0;14;5;14;9;0;7;18
157;Russula_compacta;ATP6;ATP synthase F0 subunit a;11;3;6;1;1;3;6;9;3;28;30;6;3;18;7;19;14;1;10;14
158;Russula_subnigricans;ATP6;ATP synthase F0 subunit a;11;3;6;1;1;3;6;9;3;28;30;6;3;18;7;19;14;1;10;14
159;Russula_virescens;ATP6;ATP synthase F0 subunit a;11;4;6;1;1;3;6;9;3;28;30;5;3;18;7;19;14;1;10;14
160;Nakaseomyces_bacillisporus;ATP6;ATP synthase subunit 6;13;4;7;2;1;4;4;13;3;26;36;5;10;14;6;16;11;3;7;11
161;Candida_viswanathii;ATP6;Atp6p;12;3;8;2;0;4;2;16;4;33;32;4;3;17;8;22;7;3;4;14
162;Lactarius_deliciosus;ATP6;ATP synthase F0 subunit a;10;2;3;1;1;2;2;8;3;22;27;3;2;17;5;16;11;0;9;13
163;Aspergillus_fumigatus;ATP6;unnamed protein product;15;3;15;1;2;6;3;16;5;23;43;4;4;24;8;24;12;1;9;14
164;Starmerella_bacillaris;ATP6;ATP synthase F0 subunit 6;9;2;7;2;3;2;3;11;2;20;27;6;16;16;6;16;6;1;6;5
165;Tricholoma_flavovirens;ATP6;ATP synthase F0 subunit a;13;4;8;2;1;2;5;11;2;26;35;5;1;18;7;20;11;1;6;17
166;Heterobasidion_irregulare;ATP6;ATP synthase A chain subunit 6;12;3;6;2;1;3;5;10;3;25;33;6;3;17;7;19;12;1;10;15
167;Aspergillus_oryzae_3.042;ATP6;ATP synthase A subunit;13;2;10;1;2;5;2;12;4;24;31;6;3;22;8;18;8;0;7;11
168;Lactarius_hatsudake;ATP6;ATP synthase F0 subunit a;10;2;3;1;1;2;2;8;3;22;27;3;2;17;5;16;11;0;9;13
169;Russula_foetens;ATP6;ATP synthase F0 subunit a;11;4;6;1;1;4;6;9;2;28;29;5;3;19;7;19;14;1;10;14
170;Taiwanofungus_camphoratus;ATP6;ATP synthase F0 subunit a;15;3;7;1;1;3;6;8;3;25;31;6;5;18;7;19;14;1;9;15
171;Armillaria_sinapina;ATP6;ATP synthase F0 subunit 6;15;2;5;1;1;1;2;12;2;19;28;5;0;20;5;13;6;0;6;14
172;Amanita_muscaria;ATP6;ATP synthase F0 subunit a;14;3;6;3;1;3;4;12;3;19;35;5;1;17;7;22;9;1;9;21
173;Blastosporella_zonata;ATP6;ATP synthase subunit a;17;4;8;2;0;3;5;13;3;20;41;3;1;21;7;26;10;1;10;21
174;Rhizopogon_salebrosus;ATP6;ATP synthase F0 subunit a;10;3;3;1;1;2;3;11;3;25;29;3;1;18;6;14;10;0;8;13
175;Talaromyces_marneffei;ATP6;ATP synthase subunit 6;11;2;13;1;2;6;3;18;4;26;40;5;4;22;7;24;11;1;9;13
176;Colletotrichum_lindemuthianum;ATP6;ATP synthase 6;15;2;12;1;1;6;3;16;5;24;32;5;3;21;6;16;9;1;7;13
177;Metarhizium_rileyi;ATP6;ATP synthase F0 subunit a;17;2;12;1;1;6;3;17;4;27;30;5;3;19;6;16;8;1;7;12
178;Colletotrichum_graminicola_M1.001;ATP6;ATP synthase subunit 6;15;3;12;1;1;6;3;16;5;23;32;4;3;21;6;16;9;1;7;14
179;Rhizopogon_vinicolor;ATP6;ATP synthase F0 subunit a;10;3;3;1;1;2;3;11;3;24;30;3;1;18;6;14;10;0;8;13
180;Madurella_mycetomatis;ATP6;ATP synthase F0 subunit 6;13;3;11;1;1;6;3;13;4;22;33;4;4;18;7;19;11;1;7;13
181;Barnettozyma_californica;ATP6;ATP synthase F0 subunit 6;16;2;7;2;1;3;3;19;3;28;32;4;7;14;6;18;9;2;10;11
182;Acremonium_chrysogenum;ATP6;ATP synthase subunit 6;15;2;14;1;1;6;4;16;4;26;36;4;5;19;8;16;11;1;8;13
183;Fomitopsis_palustris;ATP6;ATP synthase F0 subunit a;15;2;7;1;1;3;6;7;3;27;31;7;5;18;7;20;15;1;8;13
184;Pochonia_chlamydosporia;ATP6;ATP synthase F0 subunit 6;17;2;12;1;1;6;3;17;4;26;30;5;3;19;6;16;8;1;7;13
185;Arthrobotrys_musiformis;ATP6;ATP synthase F0 subunit a;12;2;11;1;3;5;5;16;3;25;35;7;6;18;6;17;9;1;8;12
186;Harpochytrium_sp._JEL94;ATP6;ATP synthase F0 subunit 6;16;5;7;2;1;3;4;16;3;26;36;3;3;20;8;13;22;2;12;16
187;Magnusiomyces_capitatus;ATP6;ATP synthase F0 subunit a;9;2;8;1;4;4;5;15;2;17;29;3;17;16;7;21;7;2;11;16
188;Esteya_vermicola;ATP6;ATP synthase F0 subunit 6;11;2;6;1;1;4;3;14;4;21;29;2;4;20;7;15;7;0;6;8
189;Pseudogymnoascus_destructans;ATP6;ATP synthase F0 subunit 6;13;2;5;1;2;4;3;16;4;18;32;3;3;21;6;12;7;0;6;11
190;Russula_abietina;ATP6;ATP synthase F0 subunit a;11;3;6;1;1;3;6;9;3;28;32;6;3;17;7;18;13;1;11;14
191;[Candida_sake;ATP6;ATP synthase F0 subunit 6;9;3;5;1;1;2;2;16;2;25;31;2;4;14;7;20;5;2;5;11
